id,longitude,latitude
26597,35.1734360,29.6728190
26650,35.8264190,29.2299912
26651,35.3668978,30.3716858
26705,36.0228831,29.9275416
26706,35.5631155,31.0709761
26707,35.0946541,32.2134830
26759,36.6737600,29.4797930
26760,36.2221068,30.6255226
26761,35.7623850,31.7706875
26762,35.2940911,32.9148002
26813,36.8758100,30.1763757
26814,36.4243825,31.3239362
26815,35.9650299,32.4708088
26867,37.5244849,29.7237248
26868,37.0809032,30.8734013
26869,36.6300303,32.0227755
26922,37.7322142,30.4192678
26923,37.2893556,31.5708681
26924,36.8394023,32.7220234
26976,37.9432800,31.1152663
26977,37.5015147,32.2687642
27031,38.1580248,31.8117144
27032,37.7177638,32.9670658
27086,38.3768263,32.5085945
27139,39.0303751,32.0464175
27140,38.6001028,33.2058749
27194,39.2559482,32.7422072
