id,longitude,latitude
10306,69.5400588,40.1048995
10307,69.7045483,41.4520197
10360,70.7984501,39.4212899
10361,71.0103578,40.7727935
10362,71.2056002,42.1154415
10363,71.3940394,43.4507363
10414,72.0107135,38.7213829
10415,72.2724504,40.0758290
10416,72.5114997,41.4214444
10417,72.7401017,42.7593125
10469,73.4906079,39.3631573
10470,73.7749349,40.7105417
10471,74.0443913,42.0501135
10472,74.3087678,43.3827593
10524,74.9959946,39.9845376
10525,75.3070877,41.3247931
10526,75.6097748,42.6579972
10579,76.5285382,40.5849815
10580,76.8697979,41.9178626
10581,77.2082499,43.2442395
10634,78.0894094,41.1638480
10635,78.4637346,42.4889640
10689,79.6794404,41.7204202
10690,80.0893830,43.0372592
