id,longitude,latitude
111406,46.3794188,29.0547985
111622,46.8142726,29.1447717
111730,47.1241108,28.8984789
111731,46.9403515,29.4806475
111838,47.4339948,28.6526370
111839,47.2502013,29.2334476
111840,47.0675585,29.8167140
111945,47.7440325,28.4074186
111946,47.5600986,28.9866630
111947,47.3773828,29.5686012
111948,47.1959532,30.1529822
112054,47.8701553,28.7404676
112055,47.6872557,29.3208654
112056,47.5057121,29.9039522
112162,48.1804887,28.4950581
112163,47.9972930,29.0736815
112164,47.8155199,29.6552580
112165,47.6352510,30.2395129
112270,48.3076170,28.8272475
112271,48.1254967,29.4070750
112272,47.9449499,29.9898548
112378,48.6183563,28.5817891
112380,48.2548215,29.7406636
112488,48.5649977,29.4921401
112489,48.3853276,30.0744628
