id,longitude,latitude
28397,45.9786620,48.2775326
28450,46.6988462,47.7816762
28504,47.4055222,47.2815918
28505,46.9816007,48.5691824
28506,46.5351681,49.8532729
28558,48.0991305,46.7773682
28559,47.6984630,48.0655698
28560,47.2768674,49.3505611
28611,48.7801034,46.2690788
28612,48.4017135,47.5576694
28613,48.0038735,48.8433449
28614,47.5838168,50.1269746
28664,49.7906078,44.4640009
28666,49.0918061,47.0455521
28667,48.7166752,48.3317129
28668,48.3209363,49.6161175
28718,50.4282228,43.9480803
28719,50.1058325,45.2405078
28720,49.7691839,46.5292710
28721,49.4157484,47.8157374
28722,49.0432144,49.1007361
28723,48.6492450,50.3847959
28771,51.0552567,43.4284090
28772,50.7514135,44.7202777
28774,50.1015558,47.2954728
28775,49.7511515,48.5809068
28776,49.3809495,49.8656641
28777,48.9886842,51.1500770
28825,51.6720956,42.9049577
28826,51.3860078,44.1960781
28827,51.0875122,45.4843290
28828,50.7745464,46.7709542
28829,50.4452322,48.0566884
28830,50.0976625,49.3419992
28831,49.7297908,50.6271994
28879,52.2791223,42.3776587
28880,52.0100061,43.6678662
28881,51.7292909,44.9556651
28883,51.1259245,47.5281211
28884,50.7998937,48.8138669
28885,50.4552199,50.0997200
28886,50.0898620,51.3858824
28932,52.8767158,41.8463946
28933,52.6237882,43.1355614
28934,52.3600088,44.4228237
28935,52.0837964,45.7091848
28936,51.7936787,46.9952244
28937,51.4881338,48.2813144
28938,51.1655100,49.5677123
28939,50.8239719,50.8546053
28987,53.2277204,42.5990356
28988,52.9800426,43.8857253
28989,52.7208726,45.1718851
28990,52.4489258,46.4579952
28991,52.1628528,47.7443696
28992,51.8611781,49.0312325
28993,51.5422551,50.3187542
28994,51.2042263,51.6070676
29041,53.8221505,42.0581003
29042,53.5897481,43.3442481
29043,53.3467605,44.6302258
29044,53.0920748,45.9164052
29045,52.8244993,47.2030393
29046,52.5427185,48.4903183
29047,52.2452592,49.7783947
29048,51.9304570,51.0673950
29095,54.1894542,42.7982176
29096,53.9618123,44.0840993
29097,53.7235107,45.3703976
29098,53.4734975,46.6573074
29099,53.2106014,47.9449875
29100,52.9335066,49.2335750
29101,52.6407254,50.5231907
29102,52.3305663,51.8139422
29149,54.7794518,42.2473947
29150,54.5663480,43.5333536
29151,54.3435894,44.8198829
29152,54.1102447,46.1071320
29153,53.8652708,47.3952371
29154,53.6074939,48.6843247
29155,53.3355867,49.9745136
29156,53.0480416,51.2659149
29203,55.3599779,41.6914582
29204,55.1606454,42.9777833
29205,54.9526320,44.2647339
29206,54.7351076,45.5524429
29207,54.5071421,46.8410406
29208,54.2676894,48.1306538
29209,54.0155678,49.4214053
29210,53.7494371,50.7134130
29256,55.9311869,41.1299820
29257,55.7449254,42.4171180
29258,55.5509158,43.7047793
29259,55.3484166,44.9931376
29260,55.1365986,46.2823470
29261,54.9145313,47.5725517
29262,54.6811657,48.8638889
29263,54.4353145,50.1564899
29264,54.1756278,51.4504803
29311,56.3193282,41.8510073
29312,56.1386618,43.1397960
29313,55.9504585,44.4290769
29314,55.7539869,45.7190771
29315,55.5484248,47.0099851
29316,55.3328460,48.3019685
29317,55.1062038,49.5951815
29318,54.8673103,50.8897689
29368,56.3596104,45.1511209
29369,56.1697378,46.4428965
29370,55.9710400,47.7356278
29371,55.7626018,49.0295059
29372,55.5433849,50.3247031
29422,56.7787965,45.8712021
29423,56.5961420,47.1648293
29424,56.4049703,48.4594627
29425,56.2043839,49.7553145
29426,55.9933604,51.0525738
29476,57.3758776,45.2947890
29477,57.2085048,46.5895121
29478,57.0337335,47.8850323
29479,56.8508031,49.1816173
29480,56.6588411,50.4794962
29531,57.8084342,46.0095909
29532,57.6492747,47.3061745
29533,57.4831002,48.6036081
