id,longitude,latitude
18319,-11.5142149,7.2812092
18372,-11.2726666,6.6221363
18373,-10.9418822,7.6865810
18374,-10.6017418,8.7587598
18427,-10.7003323,7.0264870
18428,-10.3692706,8.0907119
18481,-10.7247833,6.1800688
18482,-10.1277872,7.4295908
18483,-9.7963014,8.4935807
18535,-10.1520280,6.5829809
18536,-9.5549537,7.8314261
18589,-10.1685242,5.7437346
18590,-9.5790704,6.9846393
18644,-9.5950885,6.1454155
18645,-9.0058325,7.3850229
18697,-9.6050183,5.3125899
18698,-9.0214443,6.5458456
18699,-8.4322367,7.7841104
18752,-9.0307041,5.7132218
18753,-8.4475122,6.9450048
18806,-9.0352594,4.8861355
18807,-8.4561653,6.1126132
18860,-8.4599190,5.2858776
18861,-7.8813207,6.5107459
18914,-8.4601215,4.4639128
18915,-7.8843322,5.6843959
18969,-7.8836492,4.8629047
18970,-7.3084153,6.0816741
19022,-7.8803730,4.0455013
19023,-7.3069053,5.2606938
19077,-7.3026972,4.4438645
