id,longitude,latitude
102650,27.0478099,-29.5026433
102758,27.1142874,-29.8572432
102759,27.3913792,-29.3014848
102760,27.6647148,-28.7447834
102865,27.1812169,-30.2116159
102866,27.4591641,-29.6560415
102867,27.7333548,-29.0995091
102868,28.0038700,-28.5420939
102974,27.5274056,-30.0103719
102975,27.8024246,-29.4540070
102976,28.0737681,-28.8967441
103082,27.5961344,-30.3644789
103083,27.8719556,-29.8082796
103084,28.1441002,-29.2511682
103085,28.4126501,-28.6932166
103189,27.6653804,-30.7183658
103190,27.9419787,-30.1623293
103191,28.2148982,-29.6053681
103192,28.4842220,-29.0475524
103193,28.7500315,-28.4889518
103298,28.0125242,-30.5161592
103299,28.2861930,-29.9593459
103300,28.5562643,-29.4016651
103301,28.8228207,-28.8431851
103407,28.3580154,-30.3131041
103408,28.6288083,-29.7555567
103409,28.8960848,-29.1971968
103515,28.7018848,-30.1092290
103516,28.9698553,-29.5509883
103517,29.2343898,-28.9919881
103624,29.0441632,-29.9045611
103625,29.3093642,-29.3456660
103733,29.3848809,-29.6991260
