id,longitude,latitude
26674,20.7812973,55.4497479
26727,22.7425745,54.1238648
26728,21.8901886,55.1338797
26729,21.0034167,56.1318740
26781,23.7959638,53.7906285
26782,22.9795141,54.8085949
26783,22.1311295,55.8148454
26835,24.0493795,54.4742040
26836,23.2384538,55.4882348
26837,21.8464780,56.6448144
26889,25.0999269,54.1310110
26890,24.3255043,55.1523657
26891,22.9827865,56.3211734
26944,25.3924346,54.8075546
26945,24.0978943,55.9879470
26998,25.1919498,55.6454680
27052,26.2651410,55.2940617
27053,24.9943641,56.4773866
27107,26.0952296,56.1278617
27160,27.1744643,55.7694230
