id,longitude,latitude
19482,9.6349666,31.3763228
19483,10.4340117,32.2889954
19484,11.2500000,33.1679172
19535,9.6460636,30.6902748
19536,10.4396404,31.6049741
19537,11.2500000,32.4842553
19589,9.6569029,30.0041545
19590,10.4451073,30.9212223
19591,11.2500000,31.8010067
19592,12.0717862,32.9733283
19643,9.6675133,29.3178575
19644,10.4504203,30.2376931
19645,11.2500000,31.1181464
19646,12.0659883,32.2889954
19696,9.6779304,28.6312585
19697,10.4555878,29.5543340
19698,11.2500000,30.4356495
19699,12.0603596,31.6049741
19700,12.8880971,32.7485428
19750,9.6881990,27.9442034
19751,10.4606192,28.8710839
19752,11.2500000,29.7534913
19753,12.0548927,30.9212223
19754,12.8764130,32.0623867
19755,13.7154238,33.1870194
19803,8.9534849,26.2820702
19804,9.6983792,27.2564984
19805,10.4655253,28.1878702
19806,11.2500000,29.0716472
19807,12.0495797,30.2376931
19808,12.8650334,31.3763228
19809,13.6972425,32.4984393
19857,9.7085551,26.5678943
19858,10.4703200,27.5046035
19859,11.2500000,28.3900926
19860,12.0444122,29.5543340
19861,12.8539364,30.6902748
19862,13.6794960,31.8097857
19863,14.5226407,32.9181712
19911,9.7188499,25.8780617
19912,10.4750215,26.8211691
19913,11.2500000,27.7088031
19914,12.0393808,28.8710839
19915,12.8430971,30.0041545
19916,13.6621451,31.1209625
19917,14.4981257,32.2269894
19965,9.7294541,25.1865534
19966,10.4796562,26.1374143
19967,11.2500000,27.0277542
19968,12.0344747,28.1878702
19969,12.8324867,29.3178575
19970,13.6451453,30.4318590
19971,14.4741183,31.5354975
19972,15.3210806,32.6313483
20019,10.4842650,25.4531253
20020,11.2500000,26.3469217
20021,12.0296800,27.5046035
20022,12.8220696,28.6312585
20023,13.6284448,29.7423467
20024,14.4505552,30.8435754
20025,15.2900806,31.9374355
20073,10.4889170,24.7679866
20074,11.2500000,25.6662815
20075,12.0249785,26.8211691
20076,12.8118010,27.9442034
20077,13.6119810,29.0522735
20078,14.4273630,30.1510854
20079,15.2596290,31.2429938
20128,11.2500000,24.9858092
20129,12.0203438,26.1374143
20130,12.8016208,27.2564984
20131,13.5956757,28.3614575
20132,14.4044554,29.4578685
20133,15.2296347,30.5478861
20134,16.0727514,31.6324347
20181,11.2500000,24.3054809
20182,12.0157350,25.4531253
20183,12.7914449,26.5678943
20184,13.5794282,27.6696779
20185,14.3817273,28.7637391
20186,15.1999921,29.8519572
20187,16.0357067,30.9350858
20236,12.0110830,24.7679866
20237,12.7811501,25.8780617
20238,13.5631037,26.9766623
20239,14.3590472,28.0684787
20240,15.1705763,29.1550301
20241,15.9991056,30.2368711
20242,16.8460035,31.3141727
20290,12.0062597,24.0815031
20291,12.7705459,25.1865534
20292,13.5465151,26.2820702
20293,14.3362461,27.3718278
20294,15.1412353,28.4569016
20295,15.9628089,29.5376272
20296,16.8022603,30.6140603
20343,12.0009994,23.3928406
20344,12.7593204,24.4927453
20345,13.5293932,25.5854699
20346,14.3131004,26.6734758
20347,15.1117803,27.7573377
20348,15.9266518,28.8371706
20349,16.7589284,29.9129218
20350,17.6098591,30.9844552
20398,12.7469287,23.7957408
20399,13.5113347,24.8863066
20400,14.2893053,25.9730483
20401,15.0819706,27.0560677
20402,15.8904353,28.1352951
20403,16.7158353,29.2105935
20404,17.5593570,30.2817864
20452,12.7323418,23.0942206
20453,13.4917080,24.1838626
20454,14.2644325,25.2700929
20455,15.0514922,26.3527783
20456,15.8539138,27.4317686
20457,16.6727778,28.5068953
20458,17.5092225,29.5779696
20459,18.3644495,30.6447806
20461,20.1364005,32.7646464
20506,13.4694739,23.4772117
20507,14.2378605,24.5640650
20508,15.0199252,25.6471075
20509,15.8167781,26.7263309
20510,16.6295119,27.8016290
20511,17.4592515,28.8728477
20512,18.3071715,29.9397992
20514,20.0625581,32.0600046
20515,20.9727008,33.1127382
20560,13.4428184,22.7651943
20561,14.2086551,23.8543198
20562,14.9866935,24.9386423
20563,15.7786304,26.0186921
20564,16.5857396,27.0945780
20565,17.4092050,28.1662510
20566,18.2502115,29.2335836
20567,19.1099806,30.2963979
20568,19.9897867,31.3544773
20569,20.8909679,32.4075699
20615,14.1753552,23.1401284
20616,14.9509852,24.2269221
20617,15.7389484,25.3085338
20618,16.5410896,26.3855073
20619,17.3587981,27.4579978
20620,18.1933367,28.5259877
20621,19.0459489,29.5893664
20622,19.9179032,30.6479622
20623,20.8105153,31.7015572
20624,21.7251612,32.7498929
20668,14.1355706,22.4207702
20669,14.9116222,23.5114612
20670,15.6970311,24.5955169
20671,16.4950914,25.6741673
20672,17.3076861,26.7478955
20673,18.1362756,27.8168577
20674,18.9821846,28.8810455
20675,19.8467079,29.9403531
20676,20.7311582,30.9946089
20677,21.6368912,32.0435899
20678,22.5653207,33.0870290
20723,14.8668404,22.7918143
20724,15.6519161,23.8793012
20725,16.4471372,24.9603008
20726,17.2554442,26.0357443
20727,18.0787074,27.1060337
20728,18.9184287,28.1713038
20729,19.7759793,29.2315395
20730,20.6526979,30.2866307
20731,21.5499377,31.3363997
20732,22.4690923,32.3806150
20778,15.6022494,23.1595899
20779,16.3964277,24.2436587
20780,17.2015413,25.3213438
20781,18.0202470,26.3933529
20782,18.8543815,27.4600069
20783,19.7054696,28.5214082
20784,20.5749179,29.5775258
20785,21.4641024,30.6282383
20786,22.3744130,31.6733574
20787,23.3072788,32.7126394
20832,16.3418903,23.5240319
20833,17.1453024,24.6045053
20834,17.9604252,25.6786554
20835,18.7896910,26.7470199
20836,19.6348968,27.8098447
20837,20.4975791,28.8671957
20838,21.3791722,29.9190203
20839,22.2810842,30.9651814
20840,23.2047383,32.0054761
20887,17.0858549,23.8850741
20888,17.8986629,24.9617937
20889,18.7239385,26.0322124
20890,19.5639366,27.0967356
20891,20.4204147,28.1555419
20892,21.2949155,29.2086595
20893,22.1888952,30.2560112
20894,23.1037902,31.2974410
20895,24.0410536,32.3327285
20941,17.0220521,23.1629676
20942,17.8342340,24.2426488
20943,18.6566194,25.3154662
20944,19.4922110,26.3819727
20945,20.3431232,27.4424678
20946,21.2110778,28.4970702
20947,22.0976202,29.5457708
20948,23.0042251,30.5884664
20949,23.9323539,31.6249796
20995,17.7662151,23.5211565
20996,18.5871173,24.5966869
20997,19.4192742,25.6654591
20998,20.2653596,26.7278823
20999,21.1273761,27.7841693
21000,22.0070144,28.8343852
21001,22.9058215,29.8784852
21002,23.8252881,30.9163388
21003,24.7668981,31.9477461
21049,17.6934151,22.7973494
21050,18.5146700,23.8758222
21051,19.3445936,24.9471178
21052,20.1867243,26.0117043
21053,21.0434919,27.0698789
21054,21.9168098,28.1217823
21055,22.8083421,29.1674313
21056,23.7196372,30.2067463
21057,24.6522004,31.2395699
21104,18.4383219,23.1528906
21105,19.2675260,24.2269048
21106,20.1067501,25.2938693
21107,20.9590630,26.3541301
21108,21.8267092,27.4078945
21109,22.7115306,28.4552413
21110,23.6151697,29.4961437
21111,24.5391766,30.5304889
21112,25.4850697,31.5580920
21157,18.3568605,22.4280250
21158,19.1872849,23.5048296
21159,20.0248837,24.5743398
21160,20.8736730,25.6368680
21161,21.7363803,26.6926624
21162,22.6151073,27.7418565
21163,23.5116386,28.7844751
21164,24.4275993,29.8204513
21165,25.3645416,30.8496405
21212,19.1028980,22.7809836
21213,19.9404633,23.8531190
21214,20.7868379,24.9180597
21215,21.6454467,25.9760388
21216,22.5187633,27.0272249
21217,23.4087776,28.0716886
21218,24.3172282,29.1094075
21266,19.0131488,22.0555850
21267,19.8526885,23.1302712
21268,20.6979899,24.1977042
21269,21.5534789,25.2579941
21270,22.4221546,26.3113052
21271,23.3062969,27.3577388
21272,24.2078079,28.3973117
21273,25.1283892,29.4299588
21320,19.7605816,22.4059515
21321,20.6064555,23.4758473
21322,21.4599809,24.5385247
21323,22.3248939,25.5940707
21324,23.2038779,26.6425890
21325,24.0990633,27.6841237
21326,25.0122823,28.7186440
21374,19.6629353,21.6804482
21375,20.5114287,22.7526018
21376,21.3643751,23.8176631
21377,22.2265417,24.8755160
21378,23.1011673,25.9262151
21379,23.9906964,26.9698107
21380,24.8971426,28.0062972
21429,20.4119353,22.0281766
21430,21.2659824,23.0954931
21431,22.1265937,24.1556640
21432,22.9977695,25.2086101
21433,23.8823807,26.2543508
21434,24.7826880,27.2928892
21482,20.3067868,21.3029172
21483,21.1639973,22.3721695
21484,22.0244668,23.4345779
21485,22.8932375,24.4897903
21486,23.7737555,25.5377362
21487,24.6686136,26.5783999
21537,21.0574560,21.6479460
21538,21.9194810,22.7123745
21539,22.7870622,23.7698036
21540,23.6644191,24.8199781
21541,24.5545865,25.8628210
21542,25.4599431,26.8982825
21591,20.9451954,20.9232140
21592,21.8108362,21.9892447
21593,22.6786586,23.0487398
21594,23.5539197,24.1011132
21595,24.4402406,25.1461602
21596,25.3403450,26.1837890
21645,21.6975840,21.2654792
21646,22.5673491,22.3267449
21647,23.4417457,23.3812113
21648,24.3251697,24.4284455
21649,25.2207967,25.4682662
21699,21.5785910,20.5415048
21700,22.4523432,21.6040400
21701,23.3273132,22.6603860
21702,24.2089195,23.7097319
21703,25.1009280,24.7517358
21754,22.3327111,20.8809458
21755,23.2099500,21.9388083
21756,24.0909783,22.9901090
21757,24.9803300,24.0342414
21807,22.2073520,20.1579163
21808,23.0888776,21.2167244
21809,23.9707650,22.2697111
21810,24.8585476,23.3158545
21862,22.9631878,20.4944792
21863,23.8476155,21.5487306
21864,24.7350707,22.5966821
21916,22.8318136,19.7725468
21917,23.7207655,20.8274344
21918,24.6093233,21.8768767
21970,23.5893293,20.1061862
21971,24.4806505,21.1566485
21972,25.3743130,22.2010870
22024,23.4522749,19.3854742
22025,24.3483037,20.4362814
22026,25.2432743,21.4820180
22079,24.2114210,19.7161532
22080,25.1093354,20.7626757
22133,24.9717640,20.0433574
