id,longitude,latitude
1137,-10.2551572,32.3726078
1185,-11.8868992,28.5496642
1201,-14.0620044,27.0578795
1217,-16.1893166,25.5323183
1233,-13.4123583,24.7175288
1249,-15.5119573,23.2105399
1265,-17.5779063,21.6832327
1281,-14.8506395,20.8909086
1544,-12.7787535,22.3802313
1545,-11.2700128,26.1939154
1546,-9.6551574,30.0000000
1547,-7.9116919,33.7848061
1561,-9.0832075,27.6247986
1562,-7.3581171,31.4115905
1563,-5.4796117,35.1638824
1578,-6.8375015,29.0290054
1579,-4.9864159,32.7865885
1580,-2.9560059,36.4927850
1595,-4.5241383,30.4004723
1596,-2.5306090,34.1156483
1611,-2.1336491,31.7306854
