id,longitude,latitude
106572,28.0365302,45.5155325
106577,26.3539498,48.2110916
106681,28.1370583,45.8685419
106684,27.1446831,47.4908346
106685,26.8032055,48.0276251
106788,28.5603344,45.6769274
106789,28.2400653,46.2211687
106790,27.9148520,46.7635348
106791,27.5845360,47.3039625
106792,27.2489534,47.8423886
106793,26.9079340,48.3787496
106897,28.6654666,46.0294517
106898,28.3456913,46.5733699
106899,28.0209945,47.1153761
106900,27.6912180,47.6554071
106901,27.3561980,48.1933994
107006,28.7732494,46.3815430
107007,28.4540842,46.9250988
107008,28.1300247,47.4667046
107009,27.8009134,48.0062972
107010,27.4665869,48.5438131
107113,29.1975529,46.1880765
107114,28.8838316,46.7331537
107115,28.5653999,47.2763053
107116,28.2421062,47.8174677
107117,27.9137937,48.3565777
107222,29.3102640,46.5395635
107223,28.9973704,47.0842324
107224,28.6798030,47.6269353
107225,28.3574114,48.1676086
107330,29.7334094,46.3443506
107331,29.4259640,46.8905093
107332,29.1140315,47.4347240
107333,28.7974674,47.9769308
107438,29.8512092,46.6951585
107439,29.5448197,47.2408572
107440,29.2339897,47.7845687
107546,30.2731351,46.4982024
107549,29.3574297,48.1337024
