id,longitude,latitude
77430,18.2077647,43.0143289
77431,18.7306874,43.5598035
77539,18.6911733,43.2102564
77646,18.6522985,42.8608054
77647,19.1770556,43.4036830
77754,18.6140466,42.5114448
77755,19.1352756,43.0539952
77862,18.5764020,42.1621686
77863,19.0941661,42.7043928
77864,19.6206910,43.2447703
77970,19.0537101,42.3548700
77971,19.5766716,42.8949480
78078,19.0138908,42.0054207
78079,19.5333530,42.5452004
78080,20.0615828,43.0831679
78187,19.4907173,42.1955218
78188,20.0153509,42.7332182
78294,19.4487470,41.8459058
78295,19.9698491,42.3833327
78296,20.4997245,42.9189741
