id,longitude,latitude
20726,43.6501991,-17.6574340
20727,44.0323274,-16.5506841
20776,43.1358858,-23.0406597
20777,43.5264193,-21.9064706
20778,43.9146334,-20.7790606
20779,44.3006837,-19.6590781
20780,44.6847178,-18.5471505
20781,45.0668751,-17.4438827
20782,45.4472877,-16.3498562
20783,45.8260801,-15.2656274
20829,43.8006165,-25.0625192
20830,44.1897047,-23.9201205
20831,44.5772683,-22.7849503
20832,44.9633978,-21.6578050
20833,45.3481783,-20.5394547
20834,45.7316896,-19.4306407
20835,46.1140065,-18.3320734
20836,46.4951987,-17.2444306
20837,46.8753309,-16.1683560
20838,47.2544630,-15.1044574
20839,47.6326502,-14.0533061
20840,47.8997938,-12.6984096
20883,44.8724336,-25.9349595
20884,45.2572064,-24.7906851
20885,45.6415951,-23.6549716
20886,46.0255914,-22.5287843
20887,46.4091860,-21.4130507
20888,46.7923684,-20.3086578
20889,47.1751271,-19.2164485
20890,47.5574489,-18.1372196
20891,47.9393195,-17.0717191
20892,48.3207230,-16.0206446
20893,48.5898565,-14.6689463
20894,48.8561441,-13.3271421
20895,49.1186592,-11.9918165
20938,46.3392553,-25.6522015
20939,46.7203736,-24.5165620
20940,47.1023374,-23.3923050
20941,47.4850091,-22.2805666
20942,47.8682556,-21.1824229
20943,48.2519483,-20.0988852
20944,48.6359627,-19.0308967
20945,49.0201779,-17.9793298
20946,49.2906983,-16.6305002
20947,49.5586505,-15.2929174
20948,49.8228827,-13.9626278
20949,50.0828250,-12.6368793
20994,48.1949671,-24.2489656
20995,48.5772438,-23.1432144
20996,48.9612343,-22.0539587
20997,49.3466478,-20.9824252
20999,50.0044852,-18.5835024
21000,50.2735390,-17.2500324
21001,50.5389245,-15.9246894
21002,50.7999552,-14.6043728
