id,longitude,latitude
78619,20.3567294,41.8689220
78727,20.3105297,41.5189961
78728,20.8347508,42.0519666
78835,20.2650312,41.1691054
78836,20.7857280,41.7018678
78837,21.3150476,42.2329028
78943,20.7374510,41.3518002
78944,21.2631566,41.8826551
78945,21.7976416,42.4117642
79051,20.6899002,41.0017577
79052,21.2120570,41.5324347
79053,21.7428376,42.0613917
79160,21.1617281,41.1822355
79161,21.6888717,41.7110426
79162,22.2247928,42.2381062
79267,21.1121497,40.8320511
79268,21.6357220,41.3607110
79269,22.1679171,41.8876527
79376,21.5833672,41.0103906
79377,22.1119043,41.5372129
79378,22.6492151,42.0622892
79485,22.0567318,41.1867808
79486,22.5902970,41.7117656
79593,22.5322657,41.3612460
79594,23.0709215,41.8843892
79701,22.4750978,41.0107247
79702,23.0099905,41.5338066
79810,22.9499692,41.1832187
