id,longitude,latitude
4491,-12.2458228,14.2526796
4518,-11.8601427,12.8631398
4519,-11.0731295,15.0848899
4545,-11.4611767,11.4814900
4546,-10.6956931,13.6888290
4547,-9.8936083,15.9122995
4550,-7.2389834,22.6376996
4551,-6.2601768,24.8826996
4572,-10.3039392,12.3006078
4573,-9.5256255,14.5097311
4576,-6.9324892,21.2134804
4577,-5.9715389,23.4571932
4578,-4.9562558,25.6966635
4600,-9.1422543,13.1148688
4601,-8.3490059,15.3256836
4603,-6.6219550,19.7882520
4604,-5.6819285,22.0291176
4605,-4.6862666,24.2686035
4627,-8.7375776,11.7321213
4628,-7.9752893,13.9241265
4629,-7.1648424,16.1365135
4630,-6.3034173,18.3636299
4631,-5.3879458,20.5994105
4632,-4.4151022,22.8374220
4653,-8.3044094,10.3674841
4654,-7.5787152,12.5347163
4655,-6.8021696,14.7282331
4656,-5.9720670,16.9420336
4657,-5.0854912,19.1695908
4658,-4.1393127,21.4039034
4659,-3.1301913,23.6375614
4681,-7.1514509,11.1639435
4682,-6.4150049,13.3320188
4683,-5.6219644,15.5270376
4684,-4.7695134,17.7420345
4685,-3.8546732,19.9694258
4686,-2.8743130,22.2010870
4708,-6.6837746,9.8208050
4709,-5.9947631,11.9549111
4710,-5.2456599,14.1238824
4711,-4.4336676,16.3203847
4712,-3.5558868,18.5362727
4713,-2.6093354,20.7626757
4714,-1.5909783,22.9901090
4735,-5.5306198,10.6068963
4736,-4.8336874,12.7402180
4737,-4.0698486,14.9101644
4738,-3.2361708,17.1081104
4739,-2.3297225,19.3244515
4740,-1.3476155,21.5487306
4763,-4.3738946,11.3871876
4764,-3.6675527,13.5196960
4765,-2.8866758,15.6907265
4766,-2.0282262,17.8900350
4767,-1.0893293,20.1061862
4768,-0.0673491,22.3267449
4792,-2.4956681,14.2931789
4793,-1.6951555,16.4654365
4794,-0.8083921,18.6659487
4795,0.1672889,20.8809458
4819,-1.3173110,15.0605053
4820,-0.4941699,17.2341696
4821,0.4250468,19.4355834
4822,1.4425440,21.6479460
4847,-0.1317099,15.8215234
4848,0.7175945,17.9968056
4849,1.6741999,20.1985554
4874,0.3003958,14.4463807
4875,1.0619848,16.5760984
4876,1.9417502,18.7532203
4901,1.4836966,15.1946344
4902,2.2647509,17.3241233
4903,3.1803817,19.5032541
4929,2.6740267,15.9358237
4930,3.4777851,18.0655373
4957,3.8719491,16.6697105
4958,4.7026827,18.8003524
4983,3.8133496,15.0001624
4984,5.0780232,17.3960479
