id,longitude,latitude
11329,92.1591257,20.8046952
11330,92.2240798,22.1741345
11378,93.8170283,14.3789487
11379,93.7429888,15.5383377
11380,93.6627389,16.6887436
11382,93.4833454,18.9603702
11383,93.3840604,20.0805361
11384,93.2782824,21.1896109
11385,93.3611575,22.5704721
11386,93.4445935,23.9435230
11434,94.9761698,16.1459707
11435,94.9093756,17.3021809
11436,94.8374371,18.4501878
11437,94.7602772,19.5895315
11438,94.6778136,20.7197714
11439,94.5899591,21.8404861
11440,94.4966214,22.9512740
11441,94.5988938,24.3347429
11442,94.7031673,25.7112639
11443,94.8111991,27.0829278
11489,96.2153529,16.7476492
11490,96.1618204,17.9084243
11491,96.1042280,19.0621111
11492,96.0425008,20.2083178
11493,95.9765584,21.3466668
11494,95.9063151,22.4767951
11495,95.8316798,23.5983544
11496,95.7525558,24.7110118
11497,95.8767371,26.0970196
11498,96.0044994,27.4768479
11538,97.6432658,10.2484547
11539,97.6199020,11.4421546
11540,97.5938218,12.6319061
11541,97.5649868,13.8173205
11542,97.5333543,14.9980169
11543,97.4988772,16.1736226
11544,97.4615045,17.3437737
11545,97.4211805,18.5081159
11546,97.3778450,19.6663046
11547,97.3314331,20.8180056
11548,97.2818752,21.9628954
11549,97.2290969,23.1006613
11550,97.1730184,24.2310023
11551,97.1135548,25.3536287
11552,97.0506159,26.4682628
11553,97.1995205,27.8566951
11554,97.3537622,29.2396294
11592,98.8524896,9.6404035
11593,98.8382973,10.8364039
11594,98.8223595,12.0292430
11595,98.8046505,13.2185877
11596,98.7851416,14.4041102
11597,98.7638012,15.5854890
11598,98.7405943,16.7624087
11600,98.6884263,19.1016445
11601,98.6593790,20.2633657
11602,98.6282932,21.4194389
11603,98.5951167,22.5695866
11604,98.5597939,23.7135399
11605,98.5222651,24.8510387
11606,98.4824663,25.9818316
11607,98.4403293,27.1056768
11608,98.3957814,28.2223413
11648,100.0403899,11.4213531
11649,100.0322327,12.6131404
11655,99.9644313,19.6892224
11656,99.9498021,20.8536580
11657,99.9341578,22.0131610
11658,99.9174698,23.1674930
23375,101.2500000,21.4373782
