id,longitude,latitude
1233,-13.4123583,24.7175288
1265,-17.5779063,21.6832327
1281,-14.8506395,20.8909086
1297,-16.8924525,19.3840305
1329,-16.2176643,17.0837227
1542,-15.5494689,14.7806370
1543,-14.2000301,18.5717945
1544,-12.7787535,22.3802313
1545,-11.2700128,26.1939154
1558,-13.5668705,16.2184275
1559,-12.1686065,20.0130952
1560,-10.6798091,23.8200957
1561,-9.0832075,27.6247986
1574,-12.9268709,13.8693289
1575,-11.5635492,17.6430088
1576,-10.1053103,21.4388001
1577,-8.5362690,25.2400822
1591,-10.9492346,15.2760711
1592,-9.5342496,19.0531830
1593,-8.0037439,22.8468016
1594,-6.3405002,26.6365092
1607,-8.9515533,16.6690561
1608,-7.4731365,20.4474392
1609,-5.8567066,24.2342391
1623,-8.3376770,14.2967482
1624,-6.9286872,18.0472666
1625,-5.3735772,21.8237541
1626,-3.6559752,25.5970437
1640,-6.3492840,15.6565849
1641,-4.8747854,19.4094283
1656,-4.3375659,17.0011214
