id,longitude,latitude
2239,-116.7558576,32.4226969
2240,-115.6132598,33.1457853
2291,-118.8684643,29.6828641
2293,-116.5625544,31.0978517
2294,-115.4104720,31.8079668
2295,-114.2625227,32.5171335
2345,-118.6804440,28.3861756
2346,-117.5358226,29.0828229
2347,-116.3866962,29.7815182
2348,-115.2348397,30.4806850
2349,-114.0820622,31.1787877
2350,-112.9301917,31.8743481
2401,-116.2208469,28.4708621
2402,-115.0741712,29.1609394
2403,-113.9235342,29.8495724
2404,-112.7702088,30.5355664
2405,-111.6154903,31.2177732
2406,-110.4606878,31.8951001
2456,-114.9223974,27.8464651
2457,-113.7777134,28.5270963
2458,-112.6280983,29.2048287
2459,-111.4744683,29.8786953
2460,-110.3177625,30.5477666
2461,-109.1589380,31.2111560
2462,-107.9989665,31.8680264
2510,-114.7761887,26.5356038
2511,-113.6395863,27.2094882
2512,-112.4966483,27.8801598
2513,-111.3480213,28.5467840
2514,-110.1943753,29.2085521
2515,-109.0364022,29.8646857
2516,-107.8748143,30.5144407
2517,-106.7103415,31.1571114
2518,-105.5437293,31.7920339
2563,-115.7532812,24.5561525
2566,-112.3716724,26.5599728
2567,-111.2303751,27.2203629
2568,-110.0828007,27.8757702
2569,-108.9294446,28.5254997
2570,-107.7708230,29.1688815
2571,-106.6074730,29.8052733
2572,-105.4399509,30.4340632
2620,-112.2505957,25.2430112
2621,-111.1180017,25.8980573
2622,-109.9783314,26.5479675
2623,-108.8319327,27.1921140
2624,-107.6791739,27.8298865
2625,-106.5204442,28.4606951
2626,-105.3561527,29.0839724
2627,-104.1867290,29.6991757
2628,-103.0126223,30.3057890
2674,-112.1317533,23.9282735
2675,-111.0086434,24.5787500
2676,-109.8779716,25.2239324
2677,-108.7399744,25.8632472
2678,-107.5949074,26.4961337
2679,-106.4430458,27.1220461
2680,-105.2846844,27.7404553
2681,-104.1201384,28.3508504
2682,-102.9497432,28.9527412
2683,-101.7738545,29.5456590
2729,-110.9007945,23.2615282
2730,-109.7797410,23.9026601
2731,-108.6510098,24.5378164
2732,-107.5147697,25.1664781
2733,-106.3712074,25.7881372
2734,-105.2205288,26.4022978
2735,-104.0629586,27.0084780
2736,-102.8987416,27.6062111
2737,-101.7281427,28.1950472
2738,-100.5514472,28.7745543
2784,-109.6822850,22.5833127
2786,-107.4365618,23.8399409
2787,-106.3021852,24.4579337
2788,-105.1603068,25.0684209
2789,-104.0110799,25.6709465
2790,-102.8546768,26.2650659
2791,-101.6912892,26.8503474
2792,-100.5211289,27.4263731
2793,-99.3444278,27.9927403
2833,-115.0105458,18.0388096
2841,-106.2340820,23.1305425
2842,-105.1016877,23.7378813
2843,-103.9616707,24.3372694
2844,-102.8141451,24.9282830
2845,-101.6592434,25.5105079
2846,-100.4971172,26.0835405
2847,-99.3279376,26.6469891
2890,-111.6604933,18.6772540
2891,-110.5772451,19.3153821
2895,-106.1655551,21.8051915
