id,longitude,latitude
6337,29.6648424,-16.1365135
6364,30.8490059,-15.3256836
6391,31.2062305,-16.7347109
6392,32.0256255,-14.5097311
6419,32.3936083,-15.9122995
6420,33.1956931,-13.6888290
6443,30.9903077,-21.8109228
6444,31.8912493,-19.5626830
6445,32.7511261,-17.3193365
6446,33.5731295,-15.0848899
6447,34.3601427,-12.8631398
6470,31.3117866,-23.2290687
6471,32.2270805,-20.9775060
6472,33.1023259,-18.7284717
6473,33.9408928,-16.4856825
6474,34.7458228,-14.2526796
6475,35.5198625,-12.0328191
6497,31.6356908,-24.6448363
6498,32.5628534,-22.3911069
6499,33.4507515,-20.1379758
6500,34.3029358,-17.8888858
6501,35.1226083,-15.6471310
6502,35.9126604,-13.4158497
6503,36.6757065,-11.1980174
6523,31.9645271,-26.0577340
6524,32.9013440,-23.8026450
6525,33.7994803,-21.5465951
6526,34.6626686,-19.2927712
6527,35.4942711,-17.0442314
6528,36.2973228,-14.8039013
6529,37.0745698,-12.5745692
6550,32.3005724,-27.4674624
6551,33.2450359,-25.2115467
6552,34.1512329,-22.9534285
6553,35.0230781,-20.6960559
6554,35.8640928,-18.4422645
6555,36.6774534,-16.1947752
6556,37.4660338,-13.9561919
6557,38.2324429,-11.7289984
15326,33.5961995,-26.6174318
15327,34.5084605,-24.3578347
15328,35.3868247,-22.0977924
15329,36.2349703,-19.8399309
15330,37.0562115,-17.5867763
15331,37.8535461,-15.3407538
15332,38.6296964,-13.1041859
15333,39.3871445,-10.8792910
15354,35.7614925,-23.4817686
15357,38.2472995,-16.7071932
15358,39.0300153,-14.4660699
15359,39.7941675,-12.2376252
15360,40.5420400,-10.0241769
15385,39.4316289,-15.8261970
15386,40.2019120,-13.5934585
15387,40.9561379,-11.3769404
15412,39.8352461,-17.1848864
15413,40.6110220,-14.9470826
15414,41.3710566,-12.7267324
15439,41.0221731,-16.2988014
