id,longitude,latitude
5789,11.2500000,-17.8248767
5817,12.5285668,-17.0686819
5844,12.5365294,-18.6215210
5845,13.7895125,-16.3282062
5870,12.5050984,-20.2206215
5871,13.7979562,-17.8993453
5898,13.7493027,-19.5271488
5899,15.0399675,-17.1802964
5925,14.0166514,-20.9662291
5926,14.9831534,-18.8250388
5951,14.1355706,-22.4207702
5952,15.3007272,-20.2507289
5953,16.2071952,-18.1145795
5978,14.2086551,-23.8543198
5979,15.4804947,-21.7093907
5980,16.5581798,-19.5286842
5981,17.4219768,-17.3960479
6005,14.2644325,-25.2700929
6006,15.6022494,-23.1595899
6007,16.7861459,-20.9826393
6008,17.7973173,-18.8003524
6031,14.3131005,-26.6734758
6032,15.6970311,-24.5955169
6033,16.9523604,-22.4382425
6034,18.0636497,-20.2466209
6035,19.0222149,-18.0655373
6059,15.7786304,-26.0186920
6060,17.0858549,-23.8850741
6061,18.2687258,-21.7015421
6062,19.3196183,-19.5032541
6063,20.2352491,-17.3241233
6086,15.8539138,-27.4317686
6087,17.2015413,-25.3213438
6088,18.4383219,-23.1528906
6089,19.5582440,-20.9542458
6090,20.5582498,-18.7532203
6112,15.9266518,-28.8371706
6113,17.3076861,-26.7478955
6114,18.5871173,-24.5966869
6115,19.7605816,-22.4059515
6116,20.8258001,-20.1985554
6117,21.7824055,-17.9968056
6140,17.4092050,-28.1662510
6141,18.7239385,-26.0322124
6142,19.9404633,-23.8531190
6143,21.0574560,-21.6479460
6145,22.9941699,-17.2341695
6168,18.8543815,-27.4600069
6169,20.1067501,-25.2938693
6172,23.3083921,-18.6659487
6194,18.9821846,-28.8810455
6195,20.2653596,-26.7278823
6199,24.5282262,-17.8900350
6222,20.4204147,-28.1555419
