id,longitude,latitude
1721,0.9651709,14.8681290
1737,0.9083306,12.0613627
1738,2.9727737,16.1199895
1739,4.4329547,19.7466413
1753,2.9121159,13.3256871
1754,5.0023942,17.3508778
1755,6.5796121,20.9823182
1769,2.9468214,10.6236363
1770,4.9403689,14.5749283
1771,7.0567108,18.5595799
1772,8.8194127,22.1872360
1786,4.9753534,11.8950006
1787,6.9994643,15.8120785
1788,9.1383734,19.7448007
1789,11.2500000,23.2001924
1802,7.0320460,13.1592711
1803,9.0987928,17.0458977
1804,11.2500000,20.9051575
1819,9.1224371,14.4240559
1820,11.2500000,18.3062607
1821,13.6805873,22.1872360
1835,9.1465330,11.8107961
1836,11.2500000,15.7060260
1837,13.3616266,19.7448007
1838,16.1565783,23.4332375
1851,11.2500000,13.1031091
1852,13.4012072,17.0458977
1853,15.9203879,20.9823182
1868,13.3775629,14.4240559
1869,15.4432892,18.5595799
1885,15.5005357,15.8120785
