id,longitude,latitude
1753,2.9121159,13.3256871
1769,2.9468214,10.6236363
1770,4.9403689,14.5749283
1785,2.9999342,7.9564906
1786,4.9753534,11.8950006
1800,3.0521797,5.3029078
1801,5.0242738,9.2452202
1802,7.0320460,13.1592711
1817,5.0712566,6.6053367
1818,7.0719173,10.5281583
1833,5.1118150,3.9665259
1834,7.1088660,7.9019968
1835,9.1465330,11.8107961
1849,7.1405985,5.2741836
1850,9.1679044,9.1967979
1851,11.2500000,13.1031091
1866,9.1860969,6.5784900
1867,11.2500000,10.4961533
1868,13.3775629,14.4240559
1882,9.2010596,3.9536155
1883,11.2500000,7.8837829
1884,13.3534670,11.8107961
1898,11.2500000,5.2645967
1899,13.3320956,9.1967979
1900,15.4679540,13.1592711
1916,15.4280827,10.5281583
