id,longitude,latitude
15277,-87.3986511,13.7705371
15278,-86.1829717,14.3789487
15279,-84.9621083,14.9820352
15280,-83.7351046,15.5801910
15331,-87.3193669,12.6071778
15332,-86.1150825,13.2111658
15333,-84.9053919,13.8108698
15334,-83.6894876,14.4064680
15335,-82.4666457,14.9980169
15386,-86.0532874,12.0356013
15387,-84.8536192,12.6329867
15388,-83.6477365,13.2269110
15389,-82.4350132,13.8173205
15440,-85.9975353,10.8528889
15441,-84.8067335,11.4489138
15442,-83.6097967,12.0419624
15496,-83.5756186,10.8520755
