id,longitude,latitude
9667,4.5572281,53.2821670
9829,3.6074603,52.2878754
9991,2.6952537,51.2819839
11894,-63.2948517,17.4396386
12106,-68.5192579,12.5660263
12214,-68.1508438,11.9755256
17545,3.7219186,51.5869019
17546,4.6655689,52.5833590
17547,5.6486364,53.5677665
17598,3.8252925,50.8809164
17599,4.7591530,51.8761542
17600,5.7310969,52.8592039
17601,6.7434936,53.8293560
17653,4.8489984,51.1699332
17654,5.8101718,52.1517305
17655,6.8103768,53.1204917
17708,5.8860576,51.4453126
17709,6.8744896,52.4127814
17761,5.9589355,50.7399163
17762,6.9359937,51.7061912
