id,longitude,latitude
38,11.2500000,79.1899781
39,11.2500000,77.9969130
50,11.2500000,65.0900302
51,11.2500000,63.9420782
52,11.2500000,62.7992348
53,11.2500000,61.6616834
54,11.2500000,60.5296014
55,11.2500000,59.4031602
91,9.0273704,79.7746746
92,9.2532829,78.5810142
104,10.2942058,64.5181423
105,10.3282218,63.3752439
106,10.3589366,62.2378031
107,10.3867494,61.1060088
108,10.4119966,59.9800433
109,10.4349636,58.8600826
159,9.3711839,63.9442590
160,9.4354881,62.8070807
161,9.4936195,61.6757077
162,9.5463081,60.5503366
163,9.5941715,59.4311561
214,8.4779811,63.3692053
215,8.5691332,62.2384135
216,8.6516214,61.1137782
217,8.7264479,59.9955046
268,7.6117497,62.7938188
269,7.7265698,61.6700863
270,7.8305721,60.5528684
271,8.3466203,59.1745146
323,6.7697344,62.2189577
324,6.9052788,61.1029690
325,7.4631069,59.7294402
377,5.7796457,62.7600668
378,5.9492596,61.6455076
379,6.5516433,60.2771178
431,4.9611655,62.1801643
432,5.6110376,60.8172627
433,6.2102566,59.4565140
486,4.6400646,61.3495703
487,5.2840568,59.9944901
541,4.3290343,60.5246732
910,-8.9425798,70.9231045
8801,4.9690514,59.1762667
8802,7.1087519,58.9110348
8803,9.2033391,58.6126073
8855,5.8306912,58.6454650
8856,7.9187508,58.3659015
8910,6.6549143,58.1071194
35101,12.0650364,58.8600826
35263,12.0880034,59.9800433
35317,12.9536919,60.5503366
35425,12.1132506,61.1060088
35479,13.0063805,61.6757077
35587,12.1410634,62.2378031
35641,13.0645119,62.8070807
35748,15.0153341,63.9238405
35749,12.1717782,63.3752439
35803,13.1288161,63.9442590
35857,14.1230234,64.5059391
35910,15.1564022,65.0599140
35911,12.2057942,64.5181423
35965,13.2001625,65.0870384
36019,14.2353010,65.6483905
36072,15.3135183,66.2017894
36073,12.2435886,65.6663026
36126,16.4372344,66.7467901
36127,13.2795948,66.2352066
36181,14.3605636,66.7963252
36230,29.5742695,68.7402948
36231,25.8886680,68.5082079
36233,18.8313793,67.8096228
36234,15.4891785,67.3492029
36235,12.2857369,66.8195231
36284,31.1196910,69.1599447
36286,23.6729380,68.6838669
36287,20.1071612,68.3263619
36288,16.6682613,67.8933427
36289,13.3683763,67.3885434
36339,28.8695707,69.4036206
36340,25.1014515,69.1587037
36341,21.4391242,68.8325113
36342,17.9007675,68.4282026
36343,14.5008920,67.9494977
36392,30.4494392,69.8305007
36393,26.5903260,69.6208473
36394,22.8301279,69.3274063
36395,19.1897779,68.9531921
36396,15.6864305,68.5018756
36397,12.3329391,67.9775954
36446,32.0913061,70.2424245
36447,28.1419676,70.0695211
36448,24.2830642,69.8103297
36449,20.5384864,69.4676688
36450,16.9283103,69.0451179
36451,13.4680513,68.5468202
36501,29.7586738,70.5038988
36502,25.8008251,70.2805099
36503,21.9501805,69.9709349
36504,18.2300165,69.5786118
36505,14.6588419,69.1076509
36555,27.3862597,70.7371190
36556,23.4282147,70.4622336
36557,19.5951898,70.1016873
36558,15.9090340,69.6595114
36609,29.0421231,71.1792710
36610,24.9759757,70.9407458
36611,21.0276088,70.6136121
36664,26.5968357,71.4055877
36665,22.5311641,71.1135875
37152,20.0896712,74.2223126
37260,18.9023163,74.8688972
37421,24.8613073,76.3871548
37475,27.1332757,76.8578791
37529,23.7326278,77.0617221
37530,18.1574182,76.6897610
37584,20.2396078,77.2193927
37585,14.7181760,76.7718246
37638,22.4926009,77.7317782
37639,16.6754310,77.3291581
37691,24.9321693,78.2247089
37692,18.8036488,77.8713377
37693,13.0645950,77.3897316
37745,27.5743451,78.6956684
37746,21.1213211,78.3962887
37747,15.0462200,77.9601091
37799,30.4347481,79.1418100
37800,23.6481664,78.9016022
37801,17.2153866,78.5156179
37853,26.4046543,79.3844941
37854,19.5948114,79.0540381
37855,13.2467171,78.5810142
37907,29.4111955,79.8417690
37908,22.2092402,79.5727514
37909,15.4487413,79.1506846
37961,32.6868822,80.2697968
37962,25.0849684,80.0686816
37963,17.8840000,79.7035674
38016,20.5836468,80.2368324
38017,13.4726296,79.7746746
38070,23.5816652,80.7470912
38071,15.9534485,80.3430925
38125,18.7317538,80.8921991
60372,3.1956169,-54.3776637
