id,longitude,latitude
10734,79.4485528,28.7745543
10788,80.6555722,27.9927403
10789,80.6310387,29.3443199
10790,80.5928801,30.7028195
10842,81.8481038,27.2004744
10843,81.8385610,28.5490624
10844,81.8189883,29.9039522
10897,83.0307947,27.7436311
10898,83.0275634,29.0949701
10899,83.0120539,30.4530809
10951,84.2087287,26.9282621
10952,84.2199016,28.2761084
10953,84.2222841,29.6301127
11005,85.3732889,26.1031817
11006,85.3971635,27.4475920
11007,85.4151695,28.7975712
11060,86.5604123,26.6096362
11061,86.5920785,27.9556722
11114,87.7317015,25.7682426
11115,87.7542387,27.1046203
11116,87.7932282,28.4521951
