id,longitude,latitude
112685,52.1513881,18.1908023
112686,52.0212854,18.8454771
112793,52.4058261,17.8622266
112794,52.2770025,18.5156528
112795,52.1469425,19.1698692
112899,52.7856570,16.8829040
112900,52.6593994,17.5349505
112901,52.5318907,18.1873588
112902,52.4031277,18.8403239
113007,53.0369965,16.5573873
113008,52.9120695,17.2087802
113009,52.7858977,17.8603687
113010,52.6584678,18.5123168
113011,52.5297760,19.1648205
113116,53.1638082,16.8835464
113117,53.0389845,17.5344855
113118,52.9129097,18.1856173
113119,52.7855697,18.8371060
113223,53.4145958,16.5591003
113224,53.2911231,17.2095376
113225,53.1664143,17.8600253
113226,53.0404479,18.5107020
113227,52.9132091,19.1617316
113332,53.5422936,16.8853746
113333,53.4189531,17.5353667
113334,53.2943709,18.1854054
113335,53.1685246,18.8356285
113336,53.0413985,19.4861995
113441,53.6705067,17.2114893
113442,53.5473103,17.8610396
113443,53.4228667,18.5106317
113444,53.2971524,19.1604027
113548,53.9210626,16.8882597
113549,53.7992469,17.5374506
113550,53.6762071,18.1865622
113551,53.5519142,18.8357103
113552,53.4263442,19.4850307
113657,54.0501687,17.2145037
113658,53.9285266,17.8632646
113659,53.8056556,18.5119412
113660,53.6815261,19.1606478
113765,54.3000693,16.8920808
113766,54.1798136,17.5406028
113767,54.0583578,18.1889379
113768,53.9356685,18.8371830
113769,53.8117151,19.4854509
113873,54.4300624,17.2184576
113874,54.3100095,17.8665633
113875,54.1887529,18.5144773
113876,54.0662584,19.1622946
113877,53.9424942,19.8101267
113981,54.6792720,16.8967244
113982,54.5606056,17.5446976
113983,54.4407687,18.1923924
113984,54.3197245,18.8398898
113985,54.1974380,19.4872833
114090,54.8101456,17.2232354
114091,54.6917110,17.8708077
114092,54.5721033,18.5180970
114093,54.4512852,19.1651828
114094,54.3292204,19.8121567
114197,55.0586331,16.9020841
114198,54.9415801,17.5496174
114199,54.8233907,18.1967950
114200,54.7040260,18.8436847
114201,54.5834476,19.4903641
114306,55.1903801,17.2287288
114307,55.0735875,17.8758777
114308,54.9556570,18.5226671
114309,54.8365492,19.1691633
114310,54.7162247,19.8154417
114415,55.3226984,17.5552521
114416,55.2061799,18.2020237
114417,55.0885223,18.8484319
114418,54.9696855,19.4945408
114419,54.8496293,20.1404241
114523,55.4555999,17.8816614
114524,55.3393694,18.5280633
114525,55.2219990,19.1740974
114526,55.1034477,19.8198259
114527,54.9836746,20.4653204
114631,55.7039257,17.5614983
114632,55.5890965,18.2079645
114633,55.4731683,18.8540046
114634,55.3560996,19.4996722
114635,55.2378486,20.1450275
114636,55.1183737,20.7901398
114740,55.8377130,17.8880537
114741,55.7232003,18.5341694
114742,55.6075889,19.1798561
114743,55.4908366,19.8251652
114744,55.3729010,20.4701550
114745,55.2537398,21.1148923
114847,56.0852304,17.5682593
114848,55.9721051,18.2145106
114849,55.8579234,18.8602847
114850,55.7426435,19.5056266
114851,55.6262227,20.1505858
114852,55.5086180,20.7952184
114853,55.3897862,21.4395883
114855,55.1482703,22.7278525
114956,56.2198950,17.8949565
114957,56.1071140,18.5408771
114958,55.9932779,19.1863191
114959,55.8783444,19.8313255
114960,55.7622705,20.4759439
114961,55.6450124,21.1202279
114962,55.5265262,21.7642390
114963,55.4067679,22.4080485
114964,55.2856942,23.0517413
115065,56.3551737,18.2215622
