id,longitude,latitude
47306,-78.7500000,9.6146827
47522,-78.5503822,9.3179026
47630,-78.7500000,9.0162368
47631,-78.1512161,9.3225284
47738,-78.3512905,9.0208697
47846,-78.5508737,8.7191245
47847,-77.9526788,9.0253288
47954,-78.7500000,8.4173147
47955,-78.1527047,8.7235849
47956,-77.5541518,9.0296092
48062,-78.3522442,8.4217591
48063,-77.7546366,8.7278793
48170,-78.5513315,8.1198730
48171,-77.9546046,8.4260490
48172,-77.3566567,8.7320030
48279,-78.1540911,8.1241416
48280,-77.5570693,8.4301807
48386,-78.3531303,7.8221785
48387,-77.7569700,8.1282630
48495,-77.9563941,7.8262730
48496,-77.3599564,8.1322337
48603,-78.1553760,7.5242321
48604,-77.5597803,7.8302277
48711,-77.7591326,7.5281544
48712,-77.1632772,7.8340392
48819,-77.9580479,7.2260353
48820,-77.3630147,7.5319440
186295,-82.7456687,9.6530182
186403,-82.9394590,9.3549517
186404,-82.3460599,9.6502477
186510,-83.1328258,9.0566522
186511,-82.5404538,9.3522653
186619,-82.7344144,9.0540480
186620,-82.1415031,9.3493265
186727,-82.9279629,8.7555953
186728,-82.3360521,9.0512025
186834,-83.1211203,8.4569065
186835,-82.5301790,8.7528413
186836,-81.9377184,9.0481267
186943,-82.7239049,8.4542427
186944,-82.1324183,8.7498677
186945,-81.5393942,9.0448308
187051,-82.9172511,8.1554063
187052,-82.3267071,8.4513697
187053,-81.7346621,8.7466838
187159,-82.5206059,8.1526325
187160,-81.9295085,8.4482963
187161,-81.3368927,8.7432981
187162,-80.7427035,9.0376127
187163,-80.1468859,9.3312145
187164,-79.5493843,9.6240776
187268,-82.1239544,8.1496684
187269,-81.5322918,8.4450307
187270,-80.9390934,8.7397183
187271,-80.3443041,9.0337058
187272,-79.7478686,9.3269676
187273,-79.1497312,9.6194775
187377,-81.7272799,8.1465215
187378,-81.1350407,8.4415802
187379,-80.5412486,8.7359513
187380,-79.9458482,9.0296092
187381,-79.3487839,9.3225284
187485,-81.3305663,8.1431988
187486,-80.7377398,8.4379512
187487,-80.1433433,8.7320030
187488,-79.5473212,9.0253288
187489,-78.9496178,9.3179026
187593,-81.5256912,7.8445743
187594,-80.9337984,8.1397063
187595,-80.3403744,8.4341496
187596,-79.7453634,8.7278793
187597,-79.1487095,9.0208697
187701,-81.7204368,7.5457072
187702,-81.1294455,7.8412169
187703,-80.5369621,8.1360496
187704,-79.9429307,8.4301807
187705,-79.3472953,8.7235849
187808,-81.9148247,7.2465980
187809,-81.3247022,7.5424836
187810,-80.7331271,7.8377036
187813,-78.9491263,8.7191245
187917,-81.5195898,7.2435071
187918,-80.9288906,7.5391124
187919,-80.3367228,7.8340392
187921,-79.1477558,8.4217591
188026,-81.1242737,7.2402767
188027,-80.5329891,7.5355979
188028,-79.9402197,7.8302277
188134,-80.7288637,7.2369108
188135,-80.1369853,7.5319441
188137,-78.9486685,8.1198730
188243,-80.3333477,7.2334131
