id,longitude,latitude
4487,-75.2357026,-0.6053981
4488,-74.0685139,-0.0000000
4538,-78.7500000,-3.6125442
4539,-77.5741517,-3.0161586
4540,-76.4020722,-2.4172439
4541,-75.2331568,-1.8159806
4542,-74.0667500,-1.2125526
4592,-78.7500000,-4.8155276
4593,-77.5717666,-4.2215622
4594,-76.3979704,-3.6249690
4595,-75.2280615,-3.0259223
4596,-74.0614559,-2.4245934
4597,-72.8975213,-1.8211529
4646,-78.7500000,-6.0174860
4647,-77.5685801,-5.4259076
4648,-76.3922187,-4.8316194
4649,-75.2204091,-4.2347975
4650,-74.0526247,-3.6356119
4651,-72.8883092,-3.0342266
4652,-71.7268629,-2.4308012
4653,-70.5676211,-1.8254931
4700,-78.7500000,-7.2181657
4701,-77.5645870,-6.6288954
4702,-76.3848079,-6.0368397
4703,-75.2101885,-5.4421823
4704,-74.0402448,-4.8450996
4705,-72.8744782,-4.2457606
4706,-71.7123672,-3.6443261
4707,-70.5533557,-3.0409493
4754,-78.7500000,-8.4173147
4755,-77.5597803,-7.8302277
4756,-76.3757263,-7.2402767
4757,-75.1973846,-6.6476556
4758,-74.0242999,-6.0525516
4759,-72.8560127,-5.4551445
4760,-71.6920556,-4.8556068
4761,-70.5319477,-4.2541027
4808,-78.7500000,-9.6146827
4809,-77.5541518,-9.0296092
4810,-76.3649593,-8.4415802
4811,-75.1819786,-7.8508001
4812,-74.0047692,-7.2574670
4813,-72.8328922,-6.6617734
4863,-77.5476921,-10.2267475
4864,-76.3524896,-9.6404035
4865,-75.1639479,-9.0512025
4866,-73.9816268,-8.4593507
4917,-77.5403899,-11.4213531
4918,-76.3382973,-10.8364039
4919,-75.1432658,-10.2484547
4920,-73.9548426,-9.6577140
4921,-72.7725777,-9.0643827
4971,-77.5322327,-12.6131404
4972,-76.3223595,-12.0292430
4973,-75.1199020,-11.4421546
4974,-73.9243814,-10.8520755
4975,-72.7353167,-10.2591937
4976,-71.5522208,-9.6636824
4977,-70.3745959,-9.0656964
5026,-76.3046505,-13.2185877
5027,-75.0938218,-12.6319061
5028,-73.8902033,-12.0419624
5029,-72.6932665,-11.4489138
5030,-71.5024647,-10.8528889
5031,-70.3172219,-10.2539770
5080,-76.2851416,-14.4041102
5081,-75.0649868,-13.8173205
5082,-73.8522635,-13.2269110
5083,-72.6463808,-12.6329867
5084,-71.4467126,-12.0356013
5085,-70.2525787,-11.4347356
5086,-69.0632165,-10.8302607
5135,-75.0333543,-14.9980169
5136,-73.8105124,-14.4064680
5137,-72.5946081,-13.8108698
5138,-71.3849175,-13.2111658
5139,-70.1806331,-12.6071778
5140,-68.9808201,-11.9985416
5189,-74.9988772,-16.1736226
5190,-73.7648954,-15.5801910
5191,-72.5378917,-14.9820352
5192,-71.3170283,-14.3789487
5193,-70.1013489,-13.7705371
5194,-68.8897202,-13.1561177
5244,-73.7153529,-16.7476492
5245,-72.4761698,-16.1459707
5246,-71.2429888,-15.5383377
5247,-70.0146872,-14.9240773
5248,-68.7899105,-14.3020975
5299,-72.4093756,-17.3021809
5300,-71.1627389,-16.6887436
5301,-69.9206063,-16.0670945
5302,-68.6813853,-15.4356357
5354,-71.0762140,-17.8296012
5355,-69.8190623,-17.1989183
5356,-68.5641401,-16.5559350
5409,-69.7100093,-18.3189131
16200,-81.1020296,-3.6249690
16201,-79.9258483,-3.0161586
16254,-81.1077813,-4.8316194
16255,-79.9282334,-4.2215621
16308,-81.1151921,-6.0368396
16309,-79.9314199,-5.4259076
16363,-79.9354130,-6.6288954
16417,-79.9402197,-7.8302277
