id,longitude,latitude
25258,140.8848505,-8.7935033
25259,140.7291689,-7.4572646
25260,140.5670015,-6.1156891
25261,140.3934419,-4.7680489
25312,142.0377567,-9.4530369
25313,141.8764133,-8.1195317
25314,141.7105697,-6.7811494
25315,141.5360976,-5.4372156
25316,141.3473062,-4.0871379
25317,141.1361297,-2.7305651
25367,143.0301672,-8.7787265
25368,142.8596451,-7.4435249
25369,142.6828485,-6.1032227
25370,142.4950325,-4.7572452
25371,142.2896559,-3.4051717
25422,144.0148795,-8.1026579
25423,143.8345436,-6.7659509
25424,143.6459569,-5.4239912
25425,143.4437074,-4.0763300
25426,143.2203387,-2.7227554
25427,142.9653213,-1.3635530
25477,144.9919394,-7.4252592
25478,144.8011144,-6.0872693
25479,144.5998566,-4.7439511
25480,144.3820371,-3.3950082
25530,146.3462696,-9.4104845
25531,146.1557304,-8.0809877
25532,145.9613976,-6.7469513
25533,145.7593700,-5.4079307
25534,145.5445187,-4.0635865
25584,147.5474088,-10.0441197
25585,147.3265692,-8.7329595
25586,147.1276026,-7.4028891
25587,146.9233099,-6.0681470
25588,146.7093293,-4.7283753
25590,146.2273833,-2.0332194
25638,148.7557804,-10.6796366
25639,148.5263094,-9.3686898
25640,148.3004586,-8.0549168
25641,148.0925989,-6.7244597
25642,147.8777358,-5.3892503
25644,147.4060575,-2.7037568
25645,147.1342905,-1.3537475
25692,149.9709291,-11.3203578
25693,149.7326211,-10.0080163
25694,149.4984149,-8.6936356
25696,149.0508138,-6.0460733
25697,148.8247383,-4.7106563
25699,148.3229171,-2.0251931
25747,150.9448409,-10.6546788
25748,150.7022025,-9.3377877
25749,150.4638301,-8.0193306
25750,150.2295053,-6.6986912
25751,150.0023440,-5.3680959
25752,149.7643835,-4.0327500
25753,149.5096993,-2.6926475
25754,149.2305039,-1.3481066
25802,151.9109291,-9.9915537
25803,151.6646067,-8.6693433
25805,151.1849134,-6.0211978
25806,150.9472873,-4.6908848
25807,150.6967399,-3.3559067
25808,150.4267665,-2.0164045
25855,153.3813408,-11.9918165
25856,153.1230708,-10.6605099
25857,152.8692493,-9.3313933
25860,152.1344124,-5.3445650
25861,151.8857424,-4.0147890
25862,151.6218779,-2.6804907
25910,154.3361355,-11.3521876
25915,153.0781277,-4.6691195
25916,152.8178085,-3.3401482
25969,154.2607010,-5.3367792
25970,154.0161843,-3.9951799
26022,155.6981792,-7.3726180
26023,155.4441131,-6.0208944
26025,154.9487062,-3.3230572
26077,156.6260081,-6.7281672
