id,longitude,latitude
2603,60.6325558,26.7370998
2618,62.2961817,24.5957294
2619,61.7025449,28.9717839
2635,63.3717621,26.8222730
2651,64.9818207,24.6493905
2652,64.4755093,29.0665044
2667,66.0927956,26.8770469
2668,65.5874044,31.3374146
2683,67.6535511,24.6677806
2684,67.2279613,29.1203040
2700,68.7981078,26.8894483
2701,68.3654274,31.3857569
2715,70.3125868,24.6429863
2716,69.9645601,29.1238692
2717,69.4539225,33.6789508
2732,71.4899420,26.8529082
2733,71.1309855,31.3760164
2734,70.3747029,35.9970567
2749,72.6883704,29.0725215
2750,72.2508655,33.6497720
2765,73.8869223,31.3057543
2766,73.2269999,35.9433382
2782,75.0442051,33.5557184
2783,75.3765454,38.1767157
2799,76.0799455,35.8218976
