id,longitude,latitude
18144,13.4596087,52.8876636
18145,14.6480556,54.0754799
18199,14.5972234,53.3663393
18252,14.5485138,52.6584087
18253,15.7565064,53.8293560
18306,14.5018024,51.9516538
18307,15.6896232,53.1204917
18360,14.4569743,51.2460409
18361,15.6255104,52.4127814
18413,14.4139236,50.5415360
18414,15.5640063,51.7061912
18415,16.7689031,52.8592040
18468,15.5049618,51.0006871
18469,16.6898282,52.1517305
18523,16.6139424,51.4453126
18576,16.5410645,50.7399163
18577,17.7408470,51.8761542
18630,16.4710263,50.0355075
18631,17.6510016,51.1699332
18685,17.5646833,50.4646625
18738,17.4816962,49.7603079
18739,18.6747075,50.8809164
18793,18.5753510,50.1758042
18847,18.4797895,49.4715316
18901,19.5727168,49.8741677
18955,19.4649627,49.1700183
26291,20.5565335,49.5605292
26292,19.6847025,50.5790760
26293,18.7780814,51.5869019
26294,17.8344311,52.5833590
26295,16.8513636,53.5677665
26296,15.8263352,54.5394082
26344,21.5255094,49.2379744
26345,20.6816868,50.2651431
26346,19.8047463,51.2819839
26347,18.8925397,52.2878754
26348,17.9427719,53.2821670
26349,16.9529927,54.2641761
26398,22.4801843,48.9072602
26399,21.6637564,49.9427140
26400,20.8158782,50.9682072
26401,19.9344968,51.9831420
26402,19.0174154,52.9868954
26403,18.0622847,53.9788162
26404,17.0665942,54.9582218
26453,22.6309914,49.6120216
26454,21.8115325,50.6458185
26455,20.9603276,51.6694203
26456,20.0752831,52.6822285
26457,19.1541562,53.6836206
26458,18.1945460,54.6729465
26507,22.7917905,50.3150601
26508,21.9700876,51.3469673
26509,21.1163985,52.3684390
26510,20.2285920,53.3788779
26511,19.3043831,54.3776637
26561,23.7567582,49.9761688
26562,22.9638600,51.0160352
26563,22.1408176,52.0457945
26564,21.2856147,53.0648720
26565,20.3960871,54.0726740
26616,23.9417543,50.6768705
26617,23.1486263,51.7145576
26618,22.3252813,52.7418821
26619,21.4696795,53.7582736
26620,20.5796288,54.7631435
26670,24.1399381,51.3749853
26671,23.3476810,52.4101820
26672,22.5252193,53.4347536
26673,21.6704957,54.4481358
26725,24.3529324,52.0700395
26726,23.5628000,53.1023995
26727,22.7425745,54.1238648
26780,24.5825465,52.7614908
26781,23.7959638,53.7906285
