id,longitude,latitude
45379,-67.9142969,18.1540264
45488,-67.0150259,18.7182530
45596,-67.1902432,18.3365056
45704,-67.3636294,17.9521007
45705,-66.8251151,18.4224643
45812,-67.0007753,18.0411306
45813,-66.4581466,18.5051079
45921,-66.6359058,18.1266509
45922,-66.0894924,18.5845804
46029,-66.8120020,17.7457344
46030,-66.2691918,18.2088183
46137,-66.4473819,17.8308129
46138,-65.9007913,18.2877812
46246,-66.0809131,17.9124998
46247,-65.5308501,18.3636801
46355,-65.7127569,17.9909481
46356,-65.1595027,18.4366480
46463,-65.3430621,18.0663025
