id,longitude,latitude
4194,-61.0114282,-19.0775392
4221,-61.7533189,-20.2969297
4222,-59.4861658,-19.2512831
4247,-62.5052272,-21.5147777
4248,-60.2209505,-20.4813003
4249,-57.9569069,-19.4003422
4275,-60.9653465,-21.7095175
4276,-58.6836534,-20.6407389
4302,-61.7203651,-22.9362399
4303,-59.4196469,-21.8791444
4304,-57.1433857,-20.7783298
4329,-60.1658414,-23.1159032
4330,-57.8701362,-22.0265771
4356,-60.9232744,-24.3513001
4357,-58.6066866,-23.2730821
4358,-56.3182948,-22.1542668
13132,-59.3540195,-24.5181593
13133,-57.0444433,-23.4101138
13159,-57.8015253,-24.6743210
13160,-55.4991627,-23.5380395
13186,-58.5700000,-25.9376256
13187,-56.2454702,-24.8109779
13188,-53.9504666,-23.6472105
13213,-59.3481038,-27.2004744
13214,-57.0028828,-26.0835405
13215,-54.6858549,-24.9282830
13240,-57.7695548,-27.3562076
13241,-55.4320930,-26.2095126
13268,-56.1872578,-27.4914191
13269,-53.8576338,-26.3156951
