id,longitude,latitude
112695,50.6942304,24.5417977
112804,50.8200532,24.8642711
112805,50.6269864,25.4026874
112911,51.1406800,24.6542158
112912,50.9464874,25.1865705
112913,50.7535274,25.7255593
113019,51.4631109,24.4502851
113020,51.2677219,24.9759398
113021,51.0735474,25.5086989
113022,50.8807196,26.0482924
113128,51.5908487,24.7716174
113129,51.3953860,25.2974718
113130,51.2012481,25.8306592
113236,51.7192115,25.0927466
113237,51.5236864,25.6188130
113238,51.3296049,26.1524545
113346,51.6526374,25.9399652
