id,longitude,latitude
4834,21.1477366,47.1260421
4861,20.9168812,45.7221520
4888,20.7013858,44.3199061
4915,22.7137488,45.0429026
4942,22.4613935,43.6401722
6583,24.4627269,44.3277507
6584,22.9835992,46.4466191
6609,26.1534261,43.6000204
6610,24.7593169,45.7467817
6611,23.2670793,47.8624204
6637,26.4855494,45.0185518
6638,25.0841915,47.1623968
6664,28.1635964,44.2633364
6665,26.8481495,46.4333983
6666,25.4448213,48.5726145
6691,28.5603344,45.6769274
6692,27.2489534,47.8423886
6718,30.2223322,44.8943965
6719,28.9973704,47.0842324
