id,longitude,latitude
76677,19.0266364,46.0097955
76785,18.9821568,45.6594202
76786,19.5376342,46.2049369
76893,18.9384427,45.3091791
76894,19.4898191,45.8543653
77000,18.8954745,44.9590671
77001,19.4428286,45.5039226
77002,20.0003835,46.0467230
77109,19.3966416,45.1536038
77110,19.9500539,45.6961004
77217,19.3512373,44.8034036
77218,19.9005867,45.3455964
77219,20.4601357,45.8857639
77324,19.3065958,44.4533169
77325,19.8519597,44.9952059
77326,20.4073273,45.5350973
77432,19.2626975,44.1033382
77433,19.8041511,44.6449237
77434,20.3554178,45.1845388
77435,20.9168812,45.7221520
77540,19.2195236,43.7534621
77541,19.7571401,44.2947445
77542,20.3043840,44.8340835
77543,20.8616300,45.3714488
77647,19.1770556,43.4036830
77648,19.7109062,43.9446629
77649,20.2542033,44.4837262
77650,20.8073130,45.0208435
77756,19.6654296,43.5946734
77757,20.2048539,44.1334614
77758,20.7539061,44.6703310
77759,21.3129570,45.2052443
77864,19.6206910,43.2447703
77865,20.1563144,43.7832838
77866,20.7013858,44.3199061
77867,21.2562676,44.8546004
77972,20.1085641,43.4331879
77973,20.6497294,43.9695634
77974,21.2005216,44.5040389
77975,21.7613073,45.0365699
78080,20.0615828,43.0831679
78081,20.5989147,43.6192976
78082,21.1456946,44.1535547
78083,21.7022809,44.6858960
78189,20.5489201,43.2691030
78190,21.0917631,43.8031424
78191,21.6442300,44.3352943
78296,20.4997245,42.9189741
78297,21.0387039,43.4527968
78298,21.5871295,43.9847596
78299,22.1453555,44.5148137
78405,20.9864947,43.1025121
78406,21.5309548,43.6342867
78407,22.0850342,44.1641809
78408,22.6490911,44.6921396
78514,21.4756823,43.2838702
78515,22.0256936,43.8136051
78516,22.5854975,44.3414335
78621,21.4212886,42.9335045
78622,21.9673084,43.4630810
78623,22.5229406,43.9907794
78729,21.3677510,42.5831840
78730,21.9098538,43.1126032
78731,22.4613935,43.6401722
78837,21.3150476,42.2329028
78838,21.8533061,42.7621661
78839,22.4008303,43.2896067
78945,21.7976416,42.4117642
78946,22.3412255,42.9390775
78947,22.8942386,43.4645386
79053,21.7428376,42.0613917
79054,22.2825544,42.5885792
79055,22.8315303,43.1139419
79162,22.2247928,42.2381062
79163,22.7698072,42.7633717
79270,22.7090437,42.4128227
