id,longitude,latitude
9,-168.7500000,66.2429019
8907,21.4696795,53.7582736
8908,20.5796288,54.7631435
8962,22.9795141,54.8085949
8963,22.1311295,55.8148454
9060,33.6583960,43.9577099
9061,33.1362497,45.0763474
9062,32.6025532,46.1878287
9115,34.9915566,44.9273171
9116,34.5046399,46.0460436
9121,31.9308814,51.5061801
9122,31.3840946,52.5676550
9124,29.2691252,55.0270918
9125,28.1194132,56.2334410
9126,26.8954871,57.4244848
9169,36.8363926,44.7498851
9170,36.3973583,45.8741849
9174,34.5936360,50.2764688
9175,34.1294604,51.3501884
9176,33.2156300,52.6097730
9177,32.2564121,53.8545385
9178,31.2429147,55.0856512
9179,30.1663852,56.3036528
9180,29.0178075,57.5085862
9181,27.7875955,58.7000663
9222,39.0599828,43.4069975
9223,38.6702835,44.5439960
9224,38.2804238,45.6719095
9225,37.8904379,46.7898997
9226,37.5003643,47.8971750
9228,36.7201303,50.0766588
9229,35.9117092,51.3543509
9230,35.0669127,52.6179103
9231,34.1773249,53.8690623
9232,33.2349623,55.1088057
9233,32.2317894,56.3375971
9234,31.1593713,57.5554590
9235,30.0085959,58.7620397
9276,40.8365655,43.1697156
9277,40.4931661,44.3093601
9278,40.1541100,45.4384886
9279,39.8197044,46.5560819
9280,39.4902723,47.6611877
9281,39.1661526,48.7529233
9282,38.4529700,50.0454697
9283,37.7116237,51.3241097
9284,36.9340132,52.5911771
9285,36.1128257,53.8481218
9286,35.2409392,55.0957777
9287,34.3110253,56.3345190
9288,33.3152527,57.5643505
9289,32.2450374,58.7849562
9330,42.6009960,42.9054111
9331,42.3055892,44.0452639
9332,42.0195289,45.1725080
9333,41.7433839,46.2858742
9334,41.4777387,47.3841920
9335,40.8502843,48.6887781
9336,40.2021011,49.9792453
9337,39.5251991,51.2586249
9338,38.8128109,52.5288295
9339,38.0586286,53.7910428
9340,37.2563395,55.0459407
9341,36.3993078,56.2938201
9342,35.4803235,57.5346712
9343,34.4913791,58.7682158
9384,44.3540172,42.6134346
9385,44.1090701,43.7501993
9386,43.8791261,44.8712825
9387,43.6649732,45.9750729
9388,43.1144987,47.2892470
9389,42.5500131,48.5886574
9390,41.9633875,49.8771783
9391,41.3482651,51.1572150
9392,40.6990451,52.4302807
9393,40.0103227,53.6973088
9394,39.2765397,54.9588288
9395,38.4917336,56.2150674
