id,longitude,latitude
97715,28.9057790,-2.2078022
97716,29.1922402,-1.6059878
97823,28.9104330,-2.6104955
97824,29.1966035,-2.0084100
97825,29.4833040,-1.4061487
97932,29.2009960,-2.4112871
97933,29.4873909,-1.8087516
97934,29.7743516,-1.2060480
98039,29.2053675,-2.8146669
98040,29.4915128,-2.2118085
98041,29.7781526,-1.6088279
98148,29.4956195,-2.6153668
98149,29.7819946,-2.0120606
98150,30.0688999,-1.4086396
98256,29.4996556,-3.0194773
98257,29.7858276,-2.4157933
98258,30.0724527,-1.8120443
98259,30.3596443,-1.2081877
98364,29.7895962,-2.8200764
98365,30.0760029,-2.2159474
98366,30.3628985,-1.6117606
98473,30.0794953,-2.6203988
98474,30.3661567,-2.0158300
98475,30.6533433,-1.4112104
98582,30.3693641,-2.4204458
98583,30.6563003,-1.8154424
98690,30.6592137,-2.2202185
98691,30.9464450,-1.6147857
98799,30.9490554,-2.0197181
98907,30.9515695,-2.4252446
