id,longitude,latitude
2328,35.9123583,24.7175288
2329,34.3868992,28.5496642
2343,39.3924525,19.3840305
2344,38.0119573,23.2105399
2345,36.5620044,27.0578795
2359,41.4134677,17.8733968
2360,40.0779063,21.6832327
2361,38.6893166,25.5323183
2362,37.2349015,29.4024822
2374,43.4241075,16.3783288
2375,42.1205138,20.1497780
2376,40.7788755,23.9831124
2377,39.3894242,27.8578088
2378,37.9405117,31.7520765
2391,44.1515375,18.6306557
2392,42.8422131,22.4246068
2393,41.5013868,26.2855442
2394,40.1210658,30.1883228
2407,46.1843889,17.1566158
2408,44.8927253,20.8783366
2409,43.5837563,24.6998859
2410,42.2532833,28.5924053
2411,40.8962466,32.5245020
2423,46.9460460,19.3781726
2424,45.6519450,23.1231573
2425,44.3517829,26.9778733
2426,43.0453036,30.9053114
2439,49.0201779,17.9793298
2440,47.7244791,21.5925680
2441,46.4344479,25.3672887
2442,45.1553124,29.2610412
2456,49.8234032,20.1729732
2457,48.5236283,23.8011725
2458,47.2471272,27.6134664
2471,51.5526813,17.8728366
2472,50.6471391,22.3566097
2473,49.3482118,26.0057925
2474,48.0998560,29.8651889
2488,52.3989195,20.0625485
2489,51.4949875,24.5306373
2490,50.2043383,28.2090793
2505,53.2703451,22.2445228
2520,55.0101803,20.0613324
2537,55.9304298,22.2542020
