id,longitude,latitude
1,11.2500000,58.2825256
52,11.2500000,62.7992348
55,11.2500000,59.4031602
109,10.4349636,58.8600826
17605,11.2500000,57.5654672
17767,12.4507648,56.6547709
17821,12.4308846,55.9410113
17875,12.4118952,55.2286442
17929,13.6001654,55.7279455
17983,13.5626695,55.0159232
26297,14.7566404,55.4975282
26298,13.6394079,56.4413273
26299,12.4715973,57.3699592
26351,14.8427816,56.1884367
26352,13.7166135,57.1291314
26353,12.5389536,58.0544222
26405,16.0276643,55.9243951
26406,14.9426393,56.8765803
26407,13.8084820,57.8139794
26460,16.1494268,56.6126443
26461,15.0582460,57.5615499
26513,17.3367890,56.3376602
26514,16.2879762,57.2974864
26515,14.5812491,58.3659015
26568,17.4974696,57.0221401
26569,15.8450857,58.1071194
26622,18.6865859,56.7358598
26623,17.0879165,57.8366278
26676,18.3095578,57.5547918
26677,16.6693088,58.6454650
26730,19.5098925,57.2619733
26785,19.1591568,58.0793485
26839,18.8001532,58.8916174
35045,17.5309486,59.1762667
35046,15.3912481,58.9110348
35047,13.2966609,58.6126073
35098,18.4709897,59.7045229
35099,16.2897434,59.4565140
35100,14.1533797,59.1745146
35101,12.0650364,58.8600826
35152,19.4394897,60.2247351
35153,17.2159432,59.9944901
35154,15.0368931,59.7294402
35155,12.9058286,59.4311561
35207,18.1709657,60.5246732
35208,15.9483567,60.2771178
35209,13.7735521,59.9955045
35261,16.8889624,60.8172627
35262,14.6694279,60.5528684
35263,12.0880034,59.9800433
35315,17.8599354,61.3495703
35316,15.5947212,61.1029690
35317,12.9536919,60.5503366
35370,16.5507404,61.6455076
35371,13.8483786,61.1137782
35423,17.5388345,62.1801643
35424,14.7734302,61.6700862
35425,12.1132506,61.1060088
35477,18.5603895,62.7065968
35478,15.7302656,62.2189577
35479,13.0063805,61.6757077
35531,19.6168245,63.2244391
35532,16.7203543,62.7600668
35533,13.9308668,62.2384135
35584,20.7095858,63.7333011
35585,17.7452138,63.2930642
35586,14.8882503,62.7938188
35587,12.1410634,62.2378031
35638,21.8401390,64.2327668
35639,18.8064054,63.8175754
35640,15.8801339,63.3415925
35641,13.0645119,62.8070807
35693,19.9055286,64.3331993
35694,16.9081811,63.8813783
35695,14.0220189,63.3692053
35746,21.0442144,64.8395074
35747,17.9741123,64.4127927
35748,15.0153341,63.9238405
35749,12.1717782,63.3752439
35800,22.2241158,65.3360421
35801,19.0797000,64.9354238
35802,16.0462822,64.4706230
35803,13.1288161,63.9442590
35854,23.4468964,65.8223158
35855,20.2267622,65.4488299
35856,17.1167607,65.0091606
35857,14.1230234,64.5059391
35907,24.7142168,66.2978097
35908,21.4171532,65.9525375
35909,18.2287356,65.5390304
35910,15.1564022,65.0599140
35962,22.6527524,66.4460403
35963,19.3842355,66.0597770
35964,16.2310456,65.6057831
35965,13.2001625,65.0870384
36016,23.9354497,66.9287974
36017,20.5853432,66.5709104
36018,17.3491350,66.1431122
36019,14.2353010,65.6483905
36070,21.8341842,67.0719044
36071,18.5129353,66.6714322
36072,15.3135183,66.2017894
36124,23.1329124,67.5621947
36125,19.7247871,67.1902358
36126,16.4372344,66.7467901
36178,24.4836906,68.0411776
36179,20.9870958,67.6989764
36180,17.6089780,67.2829094
36232,22.3023172,68.1970645
36233,18.8313793,67.8096228
36234,15.4891785,67.3492029
36287,20.1071612,68.3263619
36288,16.6682613,67.8933427
36341,21.4391242,68.8325113
36342,17.9007675,68.4282026
36395,19.1897779,68.9531921
