id,longitude,latitude
74512,13.2053504,46.2164019
74621,13.7033278,46.4527500
74728,13.6893883,46.1038672
74836,13.6756989,45.7552054
74837,14.1879093,46.3358926
74944,13.6622535,45.4067606
74945,14.1712605,45.9869406
74946,14.6898810,46.5640649
75052,14.1549090,45.6382026
75053,14.6701970,46.2148203
75054,15.1952816,46.7885520
75160,14.1388474,45.2896741
75161,14.6508651,45.8657862
75162,15.1724861,46.4390165
75269,14.6318766,45.5169580
75270,15.1500993,46.0896877
75271,15.6781130,46.6596820
75377,15.1281109,45.7405609
75378,15.6525965,46.3100635
75379,16.1870688,46.8769522
75485,15.1065109,45.3916317
75486,15.6275349,45.9606429
75487,16.1583477,46.5270524
75594,15.6029168,45.6114156
75595,16.1301396,46.1773461
75596,16.6673492,46.7407775
75703,16.6359213,46.3907962
