id,longitude,latitude
74950,16.8684938,48.8447932
75057,16.8333914,48.4936096
75165,16.7989428,48.1426378
75166,17.3630664,48.7054178
75167,17.9389541,49.2657227
75274,17.3249995,48.3542079
75275,17.8963892,48.9140889
75276,18.4797895,49.4715316
75381,17.2876380,48.0032005
75382,17.8546217,48.5626572
75383,18.4333667,49.1196994
75384,19.0243733,49.6743273
75490,17.8136304,48.2114230
75491,18.3878164,48.7680640
75492,18.9740085,49.3223167
75598,17.7733944,47.8603820
75599,18.3431150,48.4166210
75600,18.9245930,48.9704974
75601,19.5183255,49.5220003
75706,18.2992396,48.0653659
75707,18.8761012,48.6188651
75708,19.4649627,49.1700183
75814,18.2561682,47.7142941
75815,18.8285080,48.2674152
75816,19.4126003,48.8182176
75817,20.0089383,49.3666801
75923,18.7817893,47.9161433
75924,19.3612111,48.4665937
75925,19.9526252,49.0147333
76031,19.3107687,48.1151422
76032,19.8973618,48.6629575
76033,20.4961898,49.2084600
76140,19.8431196,48.3113482
76141,20.4369743,48.8565554
76248,19.7898712,47.9599010
76249,20.3788562,48.5048113
76356,20.3218059,48.1532233
76357,20.9179937,48.6955751
76465,20.8570675,48.3438702
105066,21.3956718,48.5318803
105067,20.9800635,49.0474299
105068,20.5565335,49.5605292
105173,21.8686661,48.3674707
105174,21.4596047,48.8850805
105175,21.0428146,49.4002856
105282,21.9356346,48.7207042
105283,21.5255094,49.2379744
105390,22.4081648,48.5543279
105391,22.0046287,49.0736234
105392,21.5935147,49.5905302
105498,22.4801843,48.9072602
105499,22.0757787,49.4261958
105607,22.5544134,49.2598367
