id,longitude,latitude
72059,-13.4476599,8.8098768
72167,-13.3393551,8.4717918
72168,-13.1609049,9.0162467
72275,-13.2297260,8.1346846
72276,-13.0527899,8.6777927
72277,-12.8740488,9.2223323
72278,-12.6934705,9.7682550
72383,-12.9433263,8.3403258
72384,-12.7661368,8.8835071
72385,-12.5870803,9.4281311
72386,-12.4061243,9.9741479
72490,-13.0061232,7.4637319
72491,-12.8324206,8.0039285
72492,-12.6568516,8.5456785
72493,-12.4793848,9.0889327
72494,-12.2999882,9.6336409
72599,-12.7199754,7.6686881
72600,-12.5460979,8.2089303
72601,-12.3702910,8.7507403
72602,-12.1925229,9.2940673
72603,-12.0127613,9.8388593
72706,-12.6058890,7.3346979
72707,-12.4337765,7.8733519
72708,-12.2597018,8.4136392
72709,-12.0836337,8.9555088
72710,-11.9055402,9.4989083
72711,-11.7253882,10.0437842
72815,-12.3197838,7.5390383
72816,-12.1475162,8.0777207
72817,-11.9732218,8.6180528
72818,-11.7968691,9.1599817
72819,-11.6184255,9.7034536
72923,-12.2040119,7.2060908
72924,-12.0336285,7.7430819
72925,-11.8611840,8.2817922
72926,-11.6866473,8.8221685
72927,-11.5099862,9.3641566
72928,-11.3311679,9.9077006
73031,-11.9179286,7.4098264
73032,-11.7474128,7.9468262
73033,-11.5747697,8.4855637
73034,-11.3999677,9.0259840
73035,-11.2229743,9.5680310
73139,-11.8003014,7.0780645
73140,-11.6317955,7.6132609
73141,-11.4611264,8.1502687
73142,-11.2882628,8.6890329
73143,-11.1131725,9.2294968
73144,-10.9358227,9.7716026
73248,-11.5142149,7.2812092
73249,-11.3456027,7.8163919
73250,-11.1747593,8.3534069
73251,-11.0016529,8.8921972
73252,-10.8262511,9.4327045
73355,-11.3945480,6.9507914
73356,-11.2280784,7.4840489
73357,-11.0593399,8.0192168
73358,-10.8883011,8.5562381
73359,-10.7149297,9.0950541
73464,-11.1084283,7.1533630
73465,-10.9418822,7.6865810
73466,-10.7729973,8.2217329
73467,-10.6017418,8.7587598
73573,-10.8222577,7.3556260
73574,-10.6556162,7.8888029
73575,-10.4865648,8.4239377
73682,-10.3692706,8.0907119
73683,-10.2000325,8.6258285
