id,longitude,latitude
60155,-16.4399118,16.6073043
60157,-15.0551466,16.8050644
60264,-16.0439462,16.4869580
60265,-15.3521485,16.5854441
60372,-16.3401977,16.2666798
60373,-15.6487078,16.3656925
60479,-16.6360824,16.0464087
60480,-15.9448516,16.1458548
60481,-15.2541759,16.2434874
60588,-16.2406072,15.9259788
60589,-15.5502260,16.0241224
60696,-16.5360027,15.7061141
60697,-15.8458679,15.8046762
60803,-16.8310661,15.4863127
60804,-16.1411287,15.5851961
60805,-15.4518426,15.6824778
60911,-17.1258263,15.2666290
60912,-16.4360358,15.3657313
60913,-15.7469838,15.4634170
61020,-16.7306170,15.1463334
61021,-16.0417507,15.2443265
61126,-17.7145535,14.8278452
61127,-17.0249006,14.9270564
61128,-16.3361704,15.0252552
61129,-15.6481878,15.1220723
61235,-17.3189154,14.7079566
61236,-16.6302703,14.8062541
61237,-15.9424621,14.9033651
61344,-16.9240784,14.5873769
61345,-16.2363955,14.6846807
61451,-17.2176228,14.3686793
61452,-16.5300153,14.4660699
61453,-15.8432518,14.5623069
61560,-16.8233487,14.2475855
61561,-16.1367002,14.3440030
61669,-16.4298409,14.1257758
61776,-16.7227009,13.9076776
61777,-16.0370737,14.0032172
61885,-16.3297366,13.7853669
61993,-16.6221245,13.5676481
62101,-16.2296919,13.4448386
62209,-16.5216090,13.2274924
62317,-16.8132831,13.0103338
62425,-16.4211441,12.8872058
62533,-16.7123540,12.6704148
62641,-17.0033527,12.4538685
62749,-16.6114668,12.3303533
70009,-16.3207196,12.5467835
70010,-16.1296964,13.1041859
70011,-15.9375053,13.6623183
70012,-15.7441089,14.2211469
70013,-15.5494689,14.7806370
70014,-15.3535461,15.3407538
70015,-15.1563005,15.9014620
70016,-14.9576910,16.4627260
70117,-16.0308225,12.7600346
70118,-15.8392032,13.3175807
70119,-15.6463628,13.8758530
70120,-15.4522633,14.4348165
70121,-15.2568660,14.9944358
70122,-15.0601313,15.5546751
70123,-14.8620186,16.1154980
70124,-14.6624863,16.6768679
70225,-15.9316896,12.4160986
70226,-15.7406825,12.9730280
70227,-15.5484379,13.5307150
70228,-15.3549183,14.0891241
70229,-15.1600853,14.6482192
70230,-14.9638998,15.2079639
70231,-14.7663215,15.7683213
70232,-14.5673094,16.3292541
70334,-15.6418937,12.6286899
70335,-15.4502858,13.1857611
70336,-15.2573863,13.7435864
70337,-15.0631573,14.3021290
70338,-14.8675601,14.8613521
70339,-14.6705548,15.4212181
70340,-14.4721008,15.9816891
70341,-14.2721566,16.5427267
70441,-15.5427856,12.2845978
70442,-15.3518562,12.8410210
70443,-15.1596181,13.3982314
70444,-14.9660338,13.9561919
70445,-14.7710650,14.5148649
70446,-14.5746723,15.0742122
70447,-14.3768155,15.6341953
70448,-14.1774534,16.1947752
70550,-15.2530975,12.4965262
70551,-15.0615632,13.0530893
70552,-14.8686654,13.6104362
70553,-14.6743660,14.1685290
70554,-14.4786264,14.7273288
70555,-14.2814067,15.2867964
70556,-14.0826662,15.8468922
70557,-13.8823631,16.4075760
70659,-14.9631692,12.7081917
70660,-14.7710007,13.2648922
70661,-14.5774131,13.8223730
70662,-14.3823682,14.3805948
70663,-14.1858265,14.9395178
70664,-13.9877479,15.4991017
70665,-13.7880910,16.0593056
70767,-14.6729870,12.9195918
70768,-14.4801546,13.4764272
70769,-14.2858470,14.0340389
70770,-14.0900254,14.5923865
70771,-13.8926501,15.1514290
70772,-13.6936802,15.7111248
70773,-13.4930739,16.2714320
70875,-14.5745698,12.5745692
70876,-14.3825370,13.1307239
70877,-14.1890106,13.6876917
70878,-13.9939523,14.2454313
70879,-13.7973228,14.8039013
70880,-13.5990817,15.3630593
70881,-13.3991878,15.9228626
70984,-14.2845051,12.7852976
70985,-14.0918051,13.3415857
70986,-13.8975545,13.8986831
70987,-13.7017144,14.4565475
70988,-13.5042452,15.0151361
70989,-13.3051058,15.5744055
71092,-13.9941746,12.9957555
71093,-13.8007773,13.5521744
71094,-13.6057717,14.1093986
71095,-13.4091184,14.6673845
71096,-13.2107772,15.2260881
71200,-13.8960615,12.6502382
71201,-13.7035644,13.2059404
71202,-13.5094394,13.7624876
71203,-13.3136476,14.3198356
71204,-13.1161492,14.8779396
71205,-12.9169035,15.4367541
71309,-13.6058573,12.8600182
71310,-13.4126604,13.4158497
71311,-13.2177769,13.9725225
71312,-13.0211674,14.5299913
71313,-12.8227916,15.0882097
71416,-13.5075954,12.5144475
71417,-13.3153757,13.0695224
71418,-13.1214486,13.6254808
71419,-12.9257753,14.1822766
71420,-12.7283162,14.7398628
71525,-13.2175239,12.7235459
71526,-13.0246029,13.2787484
71527,-12.8299147,13.8348313
71528,-12.6334201,14.3917471
71529,-12.4350788,14.9494473
71633,-13.1190415,12.3779629
71634,-12.9271777,12.9323656
71635,-12.7335249,13.4876936
71636,-12.5380443,14.0438984
71637,-12.3406962,14.6009311
71741,-12.8291086,12.5863758
71742,-12.6365430,13.1409043
71743,-12.4421275,13.6963555
71744,-12.2458228,14.2526796
71745,-12.0475888,14.8098261
71850,-12.5389039,12.7945072
71851,-12.3456060,13.3491595
71852,-12.1503965,13.9047316
71958,-12.4405397,12.4485489
71959,-12.2484138,13.0023546
71960,-12.0543528,13.5571287
71961,-11.8583175,14.1128192
72066,-12.1504822,12.6559879
72067,-11.9576248,13.2099155
72174,-12.0517395,12.3101100
72175,-11.8601427,12.8631398
72176,-11.6665228,13.4171877
72283,-11.7618340,12.5168527
72284,-11.5695077,13.0700023
72391,-11.4716502,12.7233050
72499,-11.3728737,12.3771513
72500,-11.1811750,12.9294647
