id,longitude,latitude
102817,41.2346060,3.3069752
102924,41.1209394,2.9794228
102925,41.6345638,3.4246647
103032,41.0060683,2.6529085
103033,41.5221333,3.0964444
103140,40.8899157,2.3275015
103141,41.4085930,2.7691847
103247,40.7724016,2.0032743
103248,41.2938690,2.4429503
103249,41.8098464,2.8856752
103355,40.6534433,1.6803031
103356,41.1778853,2.1178088
103357,41.6964414,2.5587072
103463,40.6716799,1.2582242
103464,41.0605632,1.7938315
103465,41.5818733,2.2327516
103570,40.6888187,0.8375414
103571,40.9418214,1.4710932
103572,41.4660670,1.9078750
103573,41.9844958,2.3479927
103679,40.9604106,1.0491126
103680,41.3489450,1.5841471
103681,41.8700924,2.0223152
103787,40.9779342,0.6285118
103788,41.2304271,1.2616415
103789,41.7544720,1.6977026
103894,40.9945412,0.2091997
103895,41.2493816,0.8397606
103896,41.6375581,1.3742238
103897,42.1585376,1.8116434
104002,40.9945412,-0.2091997
104003,41.2673020,0.4192433
104004,41.5192716,1.0519507
104005,42.0431114,1.4872944
104110,40.9779342,-0.6285118
104111,41.2843348,-0.0000000
104112,41.5386039,0.6301707
104113,41.9264136,1.1640641
104217,40.9604106,-1.0491126
104218,41.2673020,-0.4192433
104219,41.5569334,0.2097385
104220,41.8083663,0.8420233
104221,42.3319967,1.2766528
104326,41.2493816,-0.8397606
104327,41.5569334,-0.2097385
104328,41.8280890,0.4203456
104329,42.2155231,0.9536707
104434,41.2304271,-1.2616415
104435,41.5386039,-0.6301707
104436,41.8468398,-0.0000000
104437,42.0977225,0.6318619
104541,41.3489450,-1.5841471
104542,41.5192716,-1.0519507
104543,41.8280890,-0.4203456
104544,42.1178482,0.2102878
104545,42.5048978,0.7430460
104650,41.6375581,-1.3742238
104651,41.8083663,-0.8420233
104652,42.1178482,-0.2102878
104653,42.3873515,0.4214691
104758,41.7544720,-1.6977026
104759,41.9264136,-1.1640641
104760,42.0977225,-0.6318619
104761,42.4078930,-0.0000000
104867,42.2155231,-0.9536707
104868,42.3873515,-0.4214691
104869,42.6772650,0.2108476
104977,42.6772650,-0.2108476
104978,42.9674744,-0.0000000
104979,42.7945493,0.5321927
104980,42.6211393,1.0657804
104981,42.4472203,1.6007389
104982,42.2727676,2.1370437
104983,42.0977563,2.6746699
104984,41.9221608,3.2135920
104985,41.7459554,3.7537841
105086,43.0783254,0.3411599
105087,42.9049247,0.8730237
105088,42.7310410,1.4063136
105089,42.5566501,1.9410050
105090,42.3817274,2.4770729
105091,42.2062480,3.0144916
105092,42.0301865,3.5532352
105093,41.8535170,4.0932773
105195,43.1890681,0.6819613
105196,43.0151971,1.2135029
105197,42.8408449,1.7465021
105198,42.6659874,2.2809339
105199,42.4906001,2.8167726
105200,42.3146581,3.3539920
105201,42.1381360,3.8925656
105303,43.4201903,0.3289103
105304,43.2997119,1.0224075
105305,43.1253757,1.5536335
105306,42.9505602,2.0863491
105307,42.7752413,2.6205287
105308,42.5993947,3.1561460
105309,42.4229955,3.6931742
105310,42.2460185,4.2315863
105411,43.5312505,0.6695174
105412,43.4102659,1.3625016
105413,43.2354696,1.8934187
105414,43.0601958,2.4258577
105415,42.8844208,2.9597925
105416,42.7081202,3.4951962
105417,42.5312691,4.0320415
105520,43.6422207,1.0097677
105521,43.5207393,1.7022467
105522,43.3454877,2.2328614
105523,43.1697608,2.7650310
105524,42.9935348,3.2987284
105525,42.8167853,3.8339264
105526,42.6394878,4.3705969
105629,43.7531102,1.3496645
105630,43.6311411,2.0416459
105631,43.4554393,2.5719649
105632,43.2792642,3.1038720
105633,43.1025922,3.6373395
105634,42.9253991,4.1723396
105736,43.9854305,0.9987381
105737,43.8639281,1.6892108
