id,longitude,latitude
55550,-57.2890897,5.8446559
55659,-56.9218378,5.8717424
55766,-57.6776421,5.1680037
55767,-57.1162102,5.5350780
55768,-56.5549609,5.8961551
55873,-57.8717228,4.8283802
55874,-57.3104604,5.1979411
55875,-56.7493399,5.5604884
55876,-56.1885506,5.9182090
55981,-58.0656479,4.4875094
55982,-57.5046036,4.8601943
55983,-56.9435836,5.2245246
55984,-56.3829363,5.5832964
55985,-55.8226711,5.9381747
56090,-57.6986471,4.5216449
56091,-57.1377142,4.8881798
56092,-56.5771641,5.2482078
56093,-56.0170807,5.6038205
56094,-55.4573648,5.9562849
56197,-57.8925833,4.1820140
56198,-57.3317523,4.5513384
56199,-56.7712573,4.9128949
56200,-56.2113065,5.2693713
56201,-55.6518266,5.6223321
56202,-55.0926580,5.9727407
56305,-58.0863719,3.8408834
56306,-57.5257151,4.2138357
56307,-56.9652403,4.5772916
56308,-56.4053705,4.9348013
56309,-55.8460795,5.2883356
56310,-55.2872072,5.6390638
56311,-54.7285643,5.9877166
56414,-57.7196100,3.8754295
56415,-57.1591381,4.2413054
56416,-56.5992960,4.6000756
56417,-56.0401432,4.9542830
56418,-55.4815253,5.3053721
56419,-54.9232397,5.6542151
56420,-54.3650873,6.0013642
56521,-57.9134221,3.5357493
56522,-57.3529751,3.9048029
56523,-56.7931080,4.2651461
56524,-56.2340383,4.6201582
56525,-55.6756299,4.9716611
56526,-55.1176660,5.3207117
56527,-54.5599295,5.6679582
56528,-54.0022236,6.0138160
56630,-57.5467718,3.5675843
56631,-56.9868334,3.9299444
56632,-56.4277869,4.2859391
56633,-55.8695391,4.6379249
56634,-55.3118595,4.9872055
56635,-54.7545092,5.3345514
56636,-54.1972730,5.6804422
56738,-57.7405369,3.2293370
56739,-57.1805012,3.5943706
56740,-56.6214130,3.9515947
56741,-56.0632717,4.3041555
56742,-55.5058365,4.6536953
56743,-54.9488425,5.0011438
56744,-54.3920516,5.3470602
56745,-53.8352604,5.6917964
56846,-57.3741414,3.2582718
56847,-56.8149426,3.6170806
56848,-56.2568475,3.9703417
56849,-55.6996136,4.3201796
56850,-55.1429449,4.6677357
56851,-54.5865757,5.0136696
56852,-54.0302819,5.3583838
56955,-57.0084056,3.2823306
56956,-56.4502874,3.6364678
56957,-55.8932074,3.9866562
56958,-55.3368323,4.3343271
56959,-54.7808616,4.6802694
56960,-54.2250464,5.0249475
57063,-57.2018357,2.9472416
57064,-56.6436147,3.3025111
57065,-56.0866348,3.6531220
57066,-55.5305203,4.0009181
57067,-54.9749259,4.3468588
57068,-54.4195720,4.6914847
57171,-56.8368554,2.9684368
57172,-56.2799136,3.3195726
57173,-55.7240244,3.6675089
57174,-55.1687853,4.0134361
57175,-54.6138776,4.3579915
57279,-57.0300406,2.6341897
57280,-56.4730620,2.9860013
57281,-55.9173602,3.3340994
57282,-55.3624569,3.6799996
57283,-54.8079828,4.0244631
57284,-54.2536609,4.3679067
57388,-56.6660998,2.6523979
57389,-56.1105431,3.0006897
57390,-55.5559582,3.3465463
57391,-55.0019088,3.6908926
57392,-54.4480811,4.0342072
57495,-56.8590494,2.3187458
57496,-56.3035885,2.6672799
57497,-55.7493075,3.0130724
57498,-55.1956788,3.3572712
57499,-54.6423416,3.7004298
57500,-54.0890412,4.0428414
57604,-56.4965119,2.3338700
57605,-55.9425245,2.6795721
57606,-55.3893190,3.0235861
57607,-54.8364741,3.3665579
57608,-54.2837081,3.7088085
57712,-56.6893285,2.0004601
57713,-56.1356315,2.3460364
57714,-55.5828609,2.6898195
57715,-55.0305166,3.0325690
57716,-54.4782859,3.3746340
57717,-53.9259564,3.7161911
57820,-56.3286546,2.0124511
57821,-55.7763448,2.3559446
57822,-55.2245179,2.6984315
57823,-54.6728272,3.0402859
57824,-54.1210512,3.3816835
57929,-55.9698259,2.0219204
57930,-55.4185434,2.3641002
57931,-54.8674009,2.7057201
57932,-54.3161726,3.0469466
58037,-56.1633891,1.6876802
58039,-55.0621025,2.3708751
58040,-54.5114117,2.7119260
58147,-54.7068949,2.3765475
58148,-54.1564534,2.7172372
58256,-54.3527989,2.3813284
