id,longitude,latitude
23047,23.9948867,8.3612566
23048,24.5963609,9.5989992
23101,24.5896787,8.7846940
23102,25.1804959,10.0344262
23155,24.5795723,7.9750273
23156,25.1790744,9.2135059
23157,25.7561681,10.4769655
23210,25.1727933,8.3982383
23211,25.7617753,9.6483932
23263,25.1631403,7.5875679
23264,25.7606823,8.8266585
23265,26.3362366,10.0901375
23318,25.7548400,8.0104920
23319,26.3420066,9.2609528
23372,25.7456873,7.1988766
23373,26.3412753,8.4384651
23374,26.9153074,9.7018611
23426,26.3359118,7.6214592
23427,26.9212750,8.8721193
23480,26.3273078,6.8089545
23481,26.9209423,8.0489357
23482,27.4934600,9.3121554
23534,26.3165152,6.0001505
23535,26.9161003,7.2311462
23536,27.4996647,8.4819075
23537,28.0562072,9.7593502
23588,26.9080949,6.4178046
23589,27.4997707,7.6580815
23590,28.0707736,8.9210398
23642,26.8979514,5.6081343
23643,27.4954954,6.8395607
23644,28.0772587,8.0903333
23645,28.6327403,9.3670682
23697,27.4881400,6.0254320
23698,28.0778471,7.2659146
23699,28.6473271,8.5285340
23700,29.1837746,9.8208050
23750,27.4787036,5.2149416
23751,28.0741860,6.4467118
23752,28.6541395,7.6974130
23753,29.2085341,8.9733812
23754,29.9992857,10.0920030
23756,32.0225360,12.0167915
23805,28.0675337,5.6318432
23806,28.6552568,6.8724484
23807,29.2231992,8.1346577
23808,29.7591984,9.4256434
23811,32.8039392,12.3006078
23859,28.0588632,4.8205767
23860,28.6522599,6.0526100
23861,29.2303891,7.3031635
23862,29.7836640,8.5783112
23863,30.5744658,9.6943990
23864,31.6014783,10.6454061
23865,32.6010081,11.6106860
23912,28.0489356,4.0122993
23913,28.6463654,5.2370461
23914,29.2320848,6.4776967
23915,29.7984684,7.7394308
23916,30.3339527,9.0291021
23917,31.3796939,9.9672475
23918,32.3923471,10.9243818
23919,33.3830631,11.8916469
23967,28.6385208,4.4250457
23968,29.2298042,5.6572666
23969,29.8060891,6.9076020
23970,30.3582061,8.1818804
23971,31.1489769,9.2954460
23972,32.1770914,10.2424351
23973,33.1785082,11.2033507
24022,29.2247239,4.8410498
24023,29.8084153,6.0816741
24024,30.3732132,7.3428732
24025,30.9081128,8.6312039
24026,31.9542902,9.5657007
24027,32.9684266,10.5186296
24075,29.2177663,4.0283557
24076,29.8069053,5.2606938
24077,30.3813207,6.5107459
24078,30.9322367,7.7841104
24079,31.7228962,8.8951659
24080,32.7519872,9.8381947
24081,33.7551317,10.7948038
24130,29.8026972,4.4438645
24131,30.3843322,5.6843959
24132,30.9475122,6.9450048
24133,31.4817544,8.2319711
24134,32.5282791,9.1628646
24135,33.5437563,10.1116472
24185,30.3836492,4.8629047
24186,30.9561653,6.1126132
24187,31.5058325,7.3850229
24188,32.2963014,8.4935807
24189,33.3262511,9.4327045
24238,30.3803730,4.0455013
24239,30.9599190,5.2858776
24240,31.5214443,6.5458456
24241,32.0549537,7.8314261
24242,33.1017418,8.7587598
24243,34.1184255,9.7034536
24292,30.3753778,3.2315336
24293,30.9601215,4.4639128
24294,31.5307041,5.7132218
24295,32.0790704,6.9846393
24296,32.8692706,8.0907119
24297,33.8999677,9.0259840
24347,30.9578387,3.6459720
24348,31.5352594,4.8861355
24349,32.0950885,6.1454155
24350,32.6277872,7.4295908
24351,33.6747593,8.3534069
24401,31.5364079,4.0637324
24402,32.1050183,5.3125899
24403,32.6520280,6.5829809
24404,33.4418822,7.6865810
24405,34.4732218,8.6180528
24456,32.1104369,4.4851857
24457,32.6685242,5.7437346
24458,33.2003323,7.0264870
24510,32.1125936,3.6623783
24511,32.6791895,4.9107360
24512,33.2247833,6.1800688
24513,34.0142149,7.2812092
24564,32.6855348,4.0830452
24565,33.2418310,5.3408226
24566,33.7726666,6.6221363
24619,33.2532994,4.5076784
24620,33.7974148,5.7759239
24621,34.5863480,6.8746175
24673,33.2606372,3.6797309
24674,33.8150891,4.9366996
24675,34.3448686,6.2165599
24727,33.8274301,4.1034358
24728,34.3700015,5.3705673
24729,35.1583615,6.4668268
24782,34.3883793,4.5313854
24783,34.9170170,5.8097792
24837,34.9426233,4.9640195
24891,35.4891916,5.4018150
24945,35.5153604,4.5563012
25000,36.0614727,4.9926884
