id,longitude,latitude
107089,35.6303189,32.6933199
107197,35.9650299,32.4708088
107198,35.7322278,33.0438283
107305,36.2982562,32.2472872
107306,36.0677281,32.8210167
107307,35.8351168,33.3944270
107413,36.4017169,32.5971838
107414,36.1714062,33.1713178
107415,35.9390363,33.7451109
107521,36.7342274,32.3723499
107522,36.5061569,32.9471766
107523,36.2761144,33.5217073
107525,35.8098678,34.6696087
107630,36.8394023,32.7220234
107631,36.6116259,33.2972610
107632,36.3819055,33.8721794
107633,36.1501807,34.4467091
107634,35.9163896,35.0207804
107635,35.6804681,35.5943239
107737,37.1711767,32.4958788
107738,36.9456046,33.0717918
107739,36.7181765,33.6474316
107740,36.4888347,34.2227273
107741,36.2575198,34.7976077
107742,36.0241706,35.3720019
107743,35.7887241,35.9458387
107846,37.2780851,32.8453199
107847,37.0528865,33.4216500
107848,36.8258638,33.9976819
107849,36.5969604,34.5733429
107850,36.3661178,35.1485604
107851,36.1332758,35.7232617
107954,37.6091026,32.6178664
107955,37.3860704,33.1948545
107956,37.1613028,33.7715919
107957,36.9347459,34.3480041
107958,36.7063439,34.9240169
107959,36.4760396,35.4995560
107960,36.2437738,36.0745471
108062,37.7177638,32.9670658
108063,37.4951871,33.5444769
108064,37.2709115,34.1216101
108065,37.0448839,34.6983894
108066,36.8170499,35.2747387
108067,36.5873534,35.8505820
108068,36.3557367,36.4258435
108171,37.8275529,33.3163571
108172,37.6054929,33.8941801
108173,37.3817733,34.4716962
108174,37.1563422,35.0488274
108175,36.9291466,35.6254959
108176,36.7001315,36.2016241
108177,36.4692406,36.7771344
108279,38.1584370,33.0872533
108280,37.9385269,33.6657338
108281,37.7170484,34.2439559
108282,37.4939524,34.8218400
108283,37.2691888,35.3993061
108284,37.0427057,35.9762746
108285,36.8144497,36.5526661
108387,38.2700508,33.4362916
108388,38.0507462,34.0151881
108389,37.8299173,34.5937949
108390,37.6075167,35.1720300
108391,37.3834954,35.7498119
108392,37.1578032,36.3270590
108393,36.9303884,36.9036899
108495,38.6001028,33.2058749
108496,38.3829046,33.7854127
108497,38.1642744,34.3647110
108498,37.9441672,34.9436858
108499,37.7225374,35.5222531
108500,37.4993376,36.1003294
108501,37.2745192,36.6778311
108604,38.7135624,33.5546505
108605,38.4970619,34.1346079
108606,38.2791785,34.7142918
108607,38.0598693,35.2936159
108608,37.8390901,35.8724941
108609,37.6167954,36.4508409
108711,39.0427590,33.3229230
108712,38.8283190,33.9035059
108713,38.6125892,34.4838671
108714,38.3955296,35.0639181
108715,38.1770988,35.6435704
108716,37.9572547,36.2227359
108717,37.7359535,36.8013268
108820,39.1580858,33.6714259
108821,38.9444390,34.2524315
108822,38.7295573,34.8331784
108823,38.5134025,35.4135757
108824,38.2959353,35.9935326
108825,38.0771154,36.5729589
108929,39.2747684,34.0200054
108930,39.0619927,34.6014159
108931,38.8480408,35.1825280
108932,38.6328767,35.7632482
108933,38.4164630,36.3434835
108934,38.1987616,36.9231412
109036,39.6036189,33.7866101
109037,39.3928766,34.3686506
109038,39.1810543,34.9504460
109039,38.9681188,35.5319001
109040,38.7540360,36.1129171
109041,38.5387710,36.6934014
109145,39.7222512,34.1349032
109146,39.5124844,34.7173491
109147,39.3017026,35.2995066
109148,39.0898748,35.8812767
109149,38.8769694,36.4625612
109253,40.0501595,33.9001954
109254,39.8423737,34.4832573
109255,39.6336701,35.0660861
109256,39.4240209,35.6485799
109257,39.2133977,36.2306371
109258,39.0017713,36.8121566
109361,40.1707657,34.2481916
109362,39.9640643,34.8316583
109363,39.7565167,35.4148447
109364,39.5480977,35.9976461
109365,39.3387815,36.5799578
109469,40.4977051,34.0121741
109470,40.2929291,34.5962433
109471,40.0874055,35.1800899
109472,39.8811123,35.7636054
109473,39.6740269,36.3466820
109578,40.6203099,34.3598625
109579,40.4167320,34.9443350
109580,40.2124853,35.5285334
109581,40.0075505,36.1123459
109582,39.8019080,36.6956617
109686,40.7445418,34.7076006
109687,40.5422617,35.2924486
109688,40.3393968,35.8769670
109689,40.1359308,36.4610407
109794,41.0708820,34.4699081
109795,40.8704877,35.0553709
109796,40.6696111,35.6405632
109797,40.4682391,36.2253659
109798,40.2663588,36.8096606
109903,41.1972109,34.8173209
109904,40.9982401,35.4031534
109905,40.7988789,35.9886545
109906,40.5991179,36.5737017
109907,40.3989473,37.1581729
110011,41.3253317,35.1647574
110012,41.1278972,35.7509246
110013,40.9301705,36.3366950
110014,40.7321455,36.9219420
110120,41.4553425,35.5121951
110121,41.2595641,36.0986579
110122,41.0635980,36.6846530
110123,40.8674418,37.2700501
110229,41.5873477,35.8596082
110230,41.3933528,36.4463222
110231,41.1992813,37.0324924
110338,41.5293828,36.7938823
110446,41.8577959,36.5542357
110447,41.6677820,37.1412977
110555,41.9964859,36.9013761
110663,42.1376657,37.2483425
110771,42.4649234,37.0071204
