id,longitude,latitude
6953,14.8139025,22.0677413
6954,15.6022494,23.1595899
7007,15.4010581,20.9800267
7008,16.2148715,22.0755905
7009,17.0220521,23.1629676
7057,13.1480780,15.1459493
7060,14.9831534,18.8250388
7061,15.9321122,19.8904825
7062,16.7861459,20.9826394
7063,17.6142732,22.0714267
7111,13.7653450,13.9952588
7112,14.4052151,15.1779578
7113,15.0397005,16.3829343
7114,15.6410605,17.6339691
7115,16.4040823,18.8120197
7116,17.3140619,19.8884218
7117,18.1718845,20.9740504
7118,19.0131488,22.0555850
7165,14.3763076,12.8426008
7166,15.0146288,14.0253201
7167,15.6501508,15.2256953
7168,16.2670760,16.4586787
7169,16.8157091,17.7563059
7170,17.7973173,18.8003524
7171,18.6940230,19.8757988
7172,19.5582440,20.9542458
7173,20.4119353,22.0281766
7217,13.7185541,9.3446403
7218,14.3478627,10.5137255
7219,14.9816797,11.6877490
7220,15.6184040,12.8702880
7221,16.2539742,14.0672203
7222,16.8783382,15.2888393
7223,17.4651000,16.5546079
7224,18.2353015,17.7253596
7225,19.1801634,18.7814793
7226,20.0733172,19.8523358
7227,20.9451954,20.9232140
7272,14.9500713,9.3556182
7273,15.5821287,10.5305693
7274,16.2171726,11.7128501
7275,16.8521741,12.9070763
7276,17.4802773,14.1207774
7277,18.0855459,15.3669728
7278,18.6280509,16.6697105
7279,19.6301028,17.6956580
7280,20.5582498,18.7532203
7281,21.4524926,19.8179333
7282,22.3327111,20.8809458
7326,15.5480757,8.1952546
7327,16.1782913,9.3709708
7328,16.8115503,10.5529889
7329,17.4455465,11.7450337
7330,18.0753800,12.9528578
7331,18.6906049,14.1857628
7332,19.2679236,15.4595936
7333,20.0439408,16.6225836
7334,21.0130849,17.6601249
7335,21.9339389,18.7148169
7336,22.8318136,19.7725468
7380,16.1425023,7.0324865
7381,16.7707823,8.2088842
7382,17.4021394,9.3906819
7383,18.0347922,10.5809514
7384,18.6651218,11.7842341
7385,19.2858846,13.0075000
7386,19.8822270,14.2619047
7387,20.4220523,15.5661268
7388,21.4380152,16.5760984
7389,22.3897272,17.6162572
7390,23.3083921,18.6659487
7391,24.2114210,19.7161532
7436,17.9895307,8.2259014
7437,18.6205611,9.4147304
7438,19.2505549,10.6144160
7439,19.8742828,11.8303720
7440,20.4816701,13.0708473
7441,21.0526434,14.3488923
7442,21.8333706,15.5039812
7443,22.8201250,16.5245368
7444,23.7627329,17.5629902
7445,24.6822477,18.6064612
7491,19.2034721,8.2462931
7492,19.8325269,9.4430911
7493,20.4575815,10.6533343
7494,21.0714883,11.8833550
7495,21.6608525,13.1427227
7496,22.1996042,14.4463807
7497,23.2254668,15.4418118
7498,24.1951555,16.4654365
7547,21.0370372,9.4757342
7548,21.6546642,10.6976506
7549,22.2552808,11.9430788
7550,22.8216945,13.2229295
7603,22.8406499,10.7473020
