id,longitude,latitude
6805,25.4013997,40.0756880
6859,26.0515278,38.9913711
6913,26.6824006,37.9009249
6967,27.2950453,36.8048414
8782,29.5185141,35.5952686
8783,28.9494154,36.7045378
8784,28.3644255,37.8096103
8785,27.7625913,38.9100677
8786,27.1428968,40.0054818
8787,26.5042585,41.0954138
8788,25.8455208,42.1794135
8837,30.5851851,36.6048342
8838,30.0258766,37.7204361
8839,29.4513727,38.8318137
8840,28.8607438,39.9385262
8841,28.2529979,41.0401252
8842,27.6270760,42.1361546
8891,32.2130221,36.4818602
8892,31.6793257,37.6074270
8893,31.1321833,38.7291316
8894,30.5707624,39.8465103
8895,29.9941747,40.9590949
8945,33.8322766,36.3359043
8946,33.3240204,37.4708759
8947,32.8041719,38.6023190
8948,32.2720067,39.7297337
8949,31.7267527,40.8526193
8999,35.4423504,36.1672700
9000,34.9592527,37.3110924
9001,34.4665280,38.4516927
9002,33.9635716,39.5885183
9003,33.4497399,40.7210190
9004,32.9243471,41.8486482
9053,37.0427057,35.9762746
9054,36.5843660,37.1284014
9055,36.1184877,38.2775879
9056,35.6445978,39.4232068
9057,35.1621945,40.5646371
9058,34.6707442,41.7012657
9108,38.1987616,36.9231412
9109,37.7593373,38.0803558
9110,37.3142761,39.2341611
9111,36.8632316,40.3838369
9112,36.4058374,41.5286754
9162,39.8019080,36.6956617
9163,39.3884188,37.8603620
9164,38.9718508,39.0217606
9165,38.5520289,40.1789992
9166,38.1287696,41.3312377
9216,41.3933528,36.4463222
9217,41.0051348,37.6179842
9218,40.6166233,38.7864003
9219,40.2278334,39.9505196
9220,39.8387827,41.1093169
9271,42.6089543,37.3536103
9272,42.2479538,38.5284891
9273,41.8899684,39.6988042
9274,41.5352383,40.8632687
9275,41.1840156,42.0206378
9325,44.1994221,37.0676348
9326,43.8652637,38.2484479
9327,43.5378438,39.4242642
9328,43.2176528,40.5934200
9329,42.9051963,41.7543127
9380,45.4680361,37.9467073
9381,45.1709722,39.1273069
9382,44.8857578,40.3000303
