id,longitude,latitude
98259,30.3596443,-1.2081877
98367,30.6503970,-1.0074732
98475,30.6533433,-1.4112104
98476,30.9411694,-0.8064971
98582,30.3693641,-2.4204458
98583,30.6563003,-1.8154424
98584,30.9437983,-1.2103950
98686,29.5137532,-4.6426051
98689,30.3724601,-2.8256612
98690,30.6592137,-2.2202185
98691,30.9464450,-1.6147857
98692,31.2342749,-1.0093154
98794,29.5163607,-5.0503915
98795,29.8026972,-4.4438645
98796,30.0889841,-3.8376029
98798,30.6620231,-2.6255915
98799,30.9490554,-2.0197181
98800,31.2366020,-1.4138611
98801,31.5247844,-0.8079730
98903,29.8050775,-4.8518048
98904,30.0915668,-4.2448294
98905,30.3780430,-3.6381248
98906,30.6646622,-3.0316182
98907,30.9515695,-2.4252446
98908,31.2389003,-1.8189460
98909,31.5267826,-1.2126698
99010,29.8069053,-5.2606938
99011,30.0937123,-4.6529189
99012,30.3803730,-4.0455013
99013,30.6670573,-3.4383596
99014,30.9539214,-2.8314213
99015,31.2411102,-2.2246219
99016,31.5287597,-1.6179033
99017,31.8169980,-1.0112133
99118,29.8080622,-5.6706186
99119,30.0953165,-5.0619504
99120,30.3822760,-4.4537352
99121,30.6691267,-3.8458817
99122,30.9560381,-3.2383088
99123,31.2431663,-2.6309446
99124,31.5306565,-2.0237249
99125,31.8186447,-1.4165916
99226,29.8084153,-6.0816741
99227,30.0962628,-5.4720100
99228,30.3836492,-4.8629046
99229,30.6707794,-4.2542555
99230,30.9578387,-3.6459720
99231,31.2449963,-3.0379739
99232,31.5324082,-2.4301895
99233,31.8202195,-1.8225548
99333,29.8078142,-6.4939641
99334,30.0964202,-5.8831910
99335,30.3843776,-5.2730942
99336,30.6719139,-4.6635582
99337,30.9592332,-4.0544814
99338,31.2465199,-3.4457741
99339,31.5339429,-2.8373565
99340,31.8216579,-2.2291575
99341,32.1098103,-1.6211133
99442,30.0956410,-6.2955954
99443,30.3843322,-5.6843959
99444,30.6724171,-5.0738730
99445,30.9601215,-4.4639128
99446,31.2476483,-3.8544145
99447,31.5351813,-3.2452893
99448,31.8228888,-2.6364581
99550,30.0937583,-6.7093346
99551,30.3833678,-6.0969100
99552,30.6721616,-5.4852908
99553,30.9603918,-4.8743484
99554,31.2482826,-4.2639702
99555,31.5360355,-3.6540567
99556,31.8238337,-3.0445195
99557,32.1118451,-2.4352804
99658,30.3813207,-6.5107459
99659,30.6710050,-5.8979099
99660,30.9599190,-5.2858776
99661,31.2483125,-4.6745223
99662,31.5364079,-4.0637324
99663,31.8244055,-3.4534096
99664,32.1124879,-2.8434664
99665,32.4008226,-2.2338250
99766,30.3780058,-6.9260233
99767,30.6687863,-6.3118380
99768,30.9585628,-5.6985973
99769,31.2476148,-5.0861585
99770,31.5361896,-4.4743965
99771,31.8245080,-3.8632011
99772,32.1127692,-3.2524750
99773,32.4011549,-2.6421316
99774,32.6898325,-2.0320937
99875,30.6653243,-6.7271924
99876,30.9561653,-6.1126132
99877,31.2460516,-5.4989744
99878,31.5352594,-4.8861354
99879,31.8240337,-4.2739730
99880,32.1125936,-3.6623783
99881,32.4011372,-3.0512549
99882,32.6898456,-2.4405170
99883,32.9788857,-1.8300881
99982,30.6604135,-7.1441016
99983,30.9525488,-6.5280404
99984,31.2434679,-5.9130737
99985,31.5334816,-5.2990432
99986,31.8228633,-4.6858105
99987,32.1118554,-4.0732538
99988,32.4006754,-3.4612658
