id,longitude,latitude
2319,21.4983646,48.4026186
2334,24.6143231,47.2518290
2335,21.9739055,50.7804079
2350,27.5788309,46.0174907
2351,25.2254344,49.6283545
2366,30.3985591,44.7067488
2367,28.3054562,48.3898493
2368,25.9831226,51.9763889
2382,31.2214929,47.0730009
2383,29.1928576,50.7289659
2398,33.9827815,45.6850537
2399,32.2162662,49.4013755
2400,30.3127356,53.0084390
2415,35.0640467,48.0019941
2416,33.4580054,51.6600545
2430,37.7480452,46.5382008
2431,36.4044160,50.2387093
2447,39.1661526,48.7529233
