id,longitude,latitude
2,-168.7500000,58.2825256
3,-168.7500000,65.0900302
4,-168.7500000,72.0740681
11,-162.1655689,52.5833590
12,-155.8157134,59.7585569
13,-149.0657483,67.4252298
22,-141.9024149,59.8661435
31,-137.4116308,52.2951097
32,-128.2450921,58.4975318
41,-126.2505629,50.7134130
50,-124.8393546,42.9777833
51,-115.9600481,47.8962636
52,-105.4738078,51.9932841
59,-123.7500000,35.2643897
60,-115.9499547,39.9669493
61,-107.0336620,44.0906281
62,-96.8207994,47.4513518
63,-85.0805221,49.7299451
64,-72.4194779,49.7299451
69,-115.4104720,31.8079668
70,-108.6748306,35.9866633
71,-99.5897712,39.6199682
72,-89.6927335,42.4255736
73,-78.7500000,44.4260057
79,-107.6791739,27.8298865
80,-100.6522516,31.4913266
81,-93.5109781,34.7976454
82,-83.7632953,37.1280761
83,-78.7500000,31.7174744
84,-73.7367047,37.1280761
85,-67.8072665,42.4255736
92,-78.7500000,24.9099698
405,171.1159054,52.5676550
413,-100.4555567,23.4101138
414,-93.4395877,26.6096362
415,-86.1845739,29.3975297
739,-175.3344311,52.5833590
745,177.7173120,27.2928892
755,-173.3539138,27.4317686
765,-164.1460862,27.4317686
774,-160.4417560,20.9542458
784,-152.1120542,20.5994105
