id,longitude,latitude
53263,-57.7120057,-30.0594927
53317,-58.0928801,-30.7028195
53318,-56.9071519,-30.1291585
53370,-58.4720568,-31.3468124
53371,-57.2846727,-30.7751242
53372,-56.1014178,-30.1934257
53425,-57.6603231,-31.4218393
53426,-56.4756040,-30.8419585
53479,-58.0330216,-32.0693683
53480,-56.8477484,-31.4913266
53481,-55.6656990,-30.9033250
53532,-58.4014943,-32.7177681
53533,-57.2167203,-32.1415925
53534,-56.0343655,-31.5552743
53535,-54.8549797,-30.9592282
53586,-58.7642429,-33.3670836
53587,-57.5811835,-32.7928085
53588,-56.3996386,-32.2082083
53589,-55.2202046,-31.6136839
53641,-57.9395607,-33.4450126
53642,-56.7601165,-32.8621748
53643,-55.5818163,-32.2692147
53644,-54.4052933,-31.6665584
53694,-58.2899913,-34.0982223
53695,-57.1141377,-33.5172041
53696,-55.9383432,-32.9258639
53697,-54.7632908,-32.3246121
53698,-53.5896551,-31.7139030
53749,-57.4597351,-34.1733015
53750,-56.2880344,-33.5836534
53751,-55.1159120,-32.9838739
53752,-53.9440963,-32.3744022
53803,-57.7945804,-34.8304386
53804,-56.6288083,-34.2425753
53805,-55.4613107,-33.6443571
53806,-54.2928691,-33.0362042
53807,-53.1242638,-32.4185889
53857,-56.9581908,-34.9025813
53858,-55.7972820,-34.3060393
53859,-54.6340254,-33.6993128
53860,-53.4692581,-33.0828556
53912,-56.1211939,-34.9688501
53913,-54.9652276,-34.3636900
53914,-53.8062357,-33.7485193
53967,-55.2836717,-35.0292408
53968,-54.1327157,-34.4155249
53969,-52.9779966,-33.7919766
54021,-54.4457070,-35.0837504
54022,-53.2998167,-34.4615429
