id,longitude,latitude
11996,-71.4467126,12.0356013
12048,-73.1183285,10.8542929
12049,-71.8817762,11.4470155
12050,-70.6279725,12.0275248
12103,-72.3111333,10.8546621
12104,-71.0683720,11.4424591
12105,-69.8062410,12.0154706
12110,-63.6799289,15.3878547
12157,-72.7353167,10.2591937
12158,-71.5024647,10.8528889
12159,-70.2525787,11.4347356
12210,-73.1548231,9.6611729
12211,-71.9308386,10.2595912
12212,-70.6919268,10.8485921
12213,-69.4338170,11.4231730
12264,-73.5701157,9.0610854
12265,-72.3540403,9.6632320
12266,-71.1249390,10.2579755
12267,-69.8790402,10.8412715
12268,-68.6113717,11.4068699
12269,-67.3152221,11.9447557
12319,-72.7725777,9.0643826
12320,-71.5522208,9.6636824
12321,-70.3172219,10.2539770
12322,-69.0632165,10.8302607
12324,-66.4725646,11.9038926
12373,-71.9743330,9.0663914
12374,-70.7490382,9.6622530
12375,-69.5072049,10.2471062
12376,-68.2437236,10.8146572
12427,-72.3917956,8.4666820
12428,-71.1751131,9.0669150
12429,-69.9440979,9.6585875
12430,-68.6942916,10.2367054
12431,-67.4196366,10.7932156
12433,-64.7583806,11.7768583
12481,-72.8050909,7.8650493
12482,-71.5960230,8.4686542
12483,-70.3745959,9.0656964
12484,-69.1369160,9.6522102
12485,-67.8777334,10.2218743
12486,-66.5897687,10.7641812
12487,-65.2626581,11.2608299
12535,-72.0123004,7.8680571
12536,-70.7993430,8.4692670
12537,-69.5723898,9.0623945
12538,-68.3268892,9.6424749
12539,-67.0565759,10.2013557
12540,-65.7525717,10.7250217
12541,-64.4019712,11.1881008
12589,-72.4244380,7.2656221
12590,-71.2189319,7.8700019
12591,-70.0014395,8.4682786
12592,-68.7680107,9.0565500
12593,-67.5132540,9.6284877
12594,-66.2295804,10.1733541
12595,-64.9059902,10.6719826
12596,-63.6978941,11.3739084
12644,-71.6339087,7.2684938
12645,-70.4247307,7.8707146
12646,-69.2019253,8.4653658
12647,-67.9608506,9.0475324
12648,-66.6950261,9.6089841
12649,-65.3951109,10.1352373
12650,-64.0472482,10.5993222
12697,-72.0447767,6.6652434
12698,-70.8428737,7.2704154
12699,-69.6293880,7.8699704
12700,-68.4003187,8.4600885
12701,-67.1501322,9.0344585
12702,-65.8709136,9.5821312
12703,-64.5509639,10.0830311
12704,-63.3436612,10.7840182
12752,-71.2564286,6.6679785
12753,-70.0510876,7.2712330
12754,-68.8325236,7.8674660
12755,-67.5960089,8.4518359
12756,-66.3348427,9.0160622
12757,-65.0391858,9.5451962
12758,-63.6941134,10.0105258
12759,-62.6274339,10.9450891
12807,-70.4676528,6.6698755
12808,-69.2582511,7.2707405
12809,-68.0336603,7.8627841
12810,-66.7882074,8.4397417
12811,-65.5136349,8.9904786
12812,-64.1974750,9.4939692
12813,-62.9909356,10.1940652
12814,-61.9019580,11.0860654
12861,-69.6782145,6.6707968
12862,-68.4639931,7.2686571
12863,-67.2321877,7.8553385
12864,-65.9758739,8.4225448
12865,-64.6846773,8.9548745
12866,-63.3424702,9.4217144
12867,-62.2747023,10.3528579
12916,-68.8878263,6.6705565
12917,-67.6678442,7.2645915
12918,-66.4273087,7.8442858
12919,-65.1576055,8.3983551
12920,-63.8454199,8.9047884
12921,-62.6396149,9.6040393
12970,-69.3058995,6.0693809
12971,-68.0961290,6.6688983
12972,-66.8691979,7.2579873
12973,-65.6179584,7.8283786
12974,-64.3314630,8.3642423
12975,-62.9922235,8.8328907
12976,-61.9232528,9.7603816
13024,-68.5178968,6.0693850
13025,-67.3026646,6.6654609
13026,-66.0672527,7.2480318
13027,-64.8026783,7.8057114
13028,-63.4946939,8.3154770
13029,-62.2895967,9.0139270
13030,-61.1974345,9.8950775
13079,-67.7287105,6.0681469
13080,-66.5068350,6.6597235
13081,-65.2609228,7.2335014
13082,-63.9794152,7.7732622
13083,-62.6432795,8.2440568
13084,-61.5729729,9.1676130
13133,-68.1482286,5.4671929
13134,-66.9378979,6.0653391
13135,-65.7078397,6.6509123
13136,-64.4486956,7.2124878
13137,-63.1451914,7.7260194
13138,-61.9407783,8.4237104
13139,-60.8468091,9.2987916
13187,-67.3614967,5.4663590
13188,-66.1448749,6.0604820
13189,-64.9045773,6.6378400
13190,-63.6283987,7.1818876
13191,-62.2955459,7.6552146
13192,-61.2237479,8.5744925
13241,-67.7785662,4.8639489
13242,-66.5732979,5.4641693
13243,-65.3488490,6.0528507
13244,-64.0954852,6.6186121
13245,-62.7968038,7.1363946
13246,-61.5930558,7.8333653
13247,-60.4971181,8.7018442
13295,-68.1899357,4.2590292
13296,-66.9942227,4.8634908
13297,-65.7830686,5.4601917
13298,-64.5487110,6.0413090
13299,-63.2782678,6.5900598
13300,-61.9489314,7.0663659
13301,-60.8754602,7.9809440
13302,-59.7643645,8.8100489
13349,-67.4086286,4.2596252
13350,-66.2085908,4.8618927
13351,-64.9900327,5.4537607
13352,-63.7428550,6.0239967
13353,-62.4494189,6.5465750
13354,-61.2463232,7.2428600
13355,-60.1482424,8.1041043
13403,-67.8173777,3.6534905
13404,-66.6265935,4.2595012
13405,-65.4211353,4.8587761
13406,-64.1930847,5.4438082
13407,-62.9288617,5.9977043
13408,-61.6033457,6.4775119
13409,-60.5279881,7.3868699
13457,-68.2212320,3.0458039
13458,-67.0381031,3.6542014
13459,-65.8434676,4.2584507
13460,-64.6311081,4.8535456
13461,-63.3905862,5.4285352
13462,-62.1029180,5.9565229
13463,-60.9004712,6.6521510
13511,-67.4440161,3.0469022
13512,-66.2582767,3.6543545
13513,-65.0587540,4.2561546
13514,-63.8374214,4.8452208
13515,-62.5799983,5.4047263
13516,-61.2586997,5.8886541
13517,-60.1812046,6.7921426
13565,-67.8451188,2.4383029
13566,-66.6666385,3.0476683
13567,-65.4775754,3.6537879
13568,-64.2717459,4.2520987
13569,-63.0384221,4.8320974
13570,-61.7571727,5.3661874
13620,-67.0694849,2.4392830
13621,-65.8888936,3.0480262
13622,-64.6955513,3.6522458
13623,-63.4813931,4.2454118
13624,-62.2314641,4.8110030
13625,-60.9149051,5.2997932
13673,-67.4676262,1.8298723
13674,-66.2938361,2.4400350
13675,-65.1105050,3.0478580
13676,-63.9115557,3.6493053
13677,-62.6860535,4.2345239
13678,-61.4120388,4.7754977
13728,-66.6933702,1.8306764
13729,-65.5180070,2.4405106
13730,-64.3310856,3.0469731
13731,-63.1246013,3.6442263
13732,-61.8829992,4.2163742
13733,-60.5718745,4.7109302
13782,-67.0883294,1.2205889
13783,-65.9192381,1.8313384
13784,-64.7417750,2.4406330
13787,-61.0673476,4.1843533
13836,-66.3151996,1.2211612
13837,-65.1451064,1.8318327
13838,-63.9648252,2.4402749
13890,-66.7067465,0.6105722
13891,-65.5423131,1.2216570
13892,-64.3708106,1.8321177
13893,-63.1866854,2.4392125
13945,-65.9344286,0.6108678
13946,-64.7695869,1.2220667
13947,-63.5961182,1.8321224
13999,-65.1624374,0.6111324
14000,-63.9969147,1.2223743
