id,longitude,latitude
2151,16.4664591,-28.2384858
2152,18.6815489,-24.6406895
2167,16.6062884,-30.6079417
2168,18.9108542,-27.0585343
2182,16.7504578,-32.9657430
2183,19.1295891,-29.4565259
2184,21.2589483,-25.8069366
2199,19.3506137,-31.8395534
2200,21.5540286,-28.2209311
2201,23.5267098,-24.5094224
2215,19.5819923,-34.2121705
2216,21.8496631,-30.6200895
2217,23.8920628,-26.9291329
2218,25.7278436,-23.1792329
2231,22.1561235,-33.0073480
2232,24.2571711,-29.3358235
2233,26.1559752,-25.5970437
2234,27.8735772,-21.8237541
2247,22.4812144,-35.3857228
2248,24.6336491,-31.7306854
2249,26.5839727,-28.0042362
2250,28.3567066,-24.2342391
2264,25.0306090,-34.1156483
2265,27.0241383,-30.4004723
2266,28.8405002,-26.6365092
2267,30.5037439,-22.8468016
2280,27.4864159,-32.7865885
2281,29.3375015,-29.0290053
2282,31.0362690,-25.2400822
2297,29.8581171,-31.4115905
2298,31.5832075,-27.6247986
2299,33.1798091,-23.8200957
5386,32.1551574,-30.0000000
5387,33.7700128,-26.1939154
5495,37.7480452,-46.5382008
