id,longitude,latitude
99313,25.2137787,-17.8569524
99421,25.2922251,-18.2146169
99422,25.5164949,-17.6608662
99530,25.5960538,-18.0181279
99637,25.6740380,-18.3758334
99638,25.8991415,-17.8212667
99745,25.7505828,-18.7338987
99746,25.9782250,-18.1785815
99853,25.8258141,-19.0922487
99854,26.0558868,-18.5362727
99855,26.2816616,-17.9809570
99960,25.8998498,-19.4508167
99961,26.1322505,-18.8942658
99962,26.3604083,-18.3382685
100069,26.2074316,-19.2524941
100070,26.4378726,-18.6958978
100071,26.6641712,-18.1398909
100177,26.2815386,-19.6108984
100178,26.5141680,-19.0537787
100179,26.7427052,-18.4971505
100180,26.9671988,-17.9411448
100285,26.5894010,-19.4118519
100286,26.8200843,-18.8546770
100287,27.0467722,-18.2980291
100288,27.2695134,-17.7420345
100289,27.4883561,-17.1868171
100393,26.6636718,-19.7700644
100394,26.8964132,-19.2124111
100395,27.1252051,-18.6551947
100396,27.3500967,-18.0985386
100397,27.5711368,-17.5425643
100398,27.7883735,-16.9873911
100501,26.7370744,-20.1283690
100502,26.9717906,-19.5702999
100503,27.2026005,-19.0125826
100504,27.4295542,-18.4553377
100505,27.6527011,-17.8986839
100506,27.8720900,-17.3427382
100507,28.0877688,-16.7876157
100609,27.0463091,-19.9282961
100610,27.2790555,-19.3701398
100611,27.5079872,-18.8123727
100612,27.7331547,-18.2551110
100613,27.9546072,-17.6984692
100614,28.1723934,-17.1425601
100615,28.3865612,-16.5874944
100717,27.1200562,-20.2863570
100718,27.3546613,-19.7278186
100719,27.5854912,-19.1695908
100720,27.8125970,-18.6117871
100721,28.0360289,-18.0545198
100722,28.2558360,-17.4978991
100723,28.4720670,-16.9420336
100724,28.6847695,-16.3870303
100725,28.8939902,-15.8329940
100825,27.1931143,-20.6444451
100826,27.4295042,-20.0855765
100827,27.6621562,-19.5269442
100828,27.8911221,-18.9686594
100829,28.1164529,-18.4108315
100830,28.3381984,-17.8535687
100831,28.5564081,-17.2969774
100832,28.7711301,-16.7411624
100833,28.9824118,-16.1862266
100834,29.1902998,-15.6322713
