id,longitude,latitude
12745,-8.8106646,32.9514174
12799,-9.5021215,32.5323694
12907,-9.3264524,31.8281303
12961,-10.0075151,31.4054454
13069,-9.8302752,30.7025243
13231,-10.3228012,29.5749821
13285,-10.9849733,29.1459233
13339,-11.6418764,28.7129833
13392,-12.2937202,28.2763301
13393,-10.8046604,28.4458800
13446,-12.9407219,27.8361412
13447,-11.4582740,28.0140979
13500,-13.5831063,27.3926058
13501,-12.1069892,27.5786804
13554,-12.7510176,27.1398072
13555,-11.2764474,27.3155879
13608,-13.3905782,26.6976697
13609,-11.9220554,26.8814014
13662,-14.0258980,26.2524729
13663,-12.5631255,26.4438374
13715,-14.6572121,25.8044380
13716,-13.1998711,26.0030891
13717,-11.7387237,26.1844692
13770,-13.8325131,25.5593633
13771,-12.3768528,25.7482052
13824,-14.4612803,25.1128831
13825,-13.0107947,25.3088345
13877,-15.0864099,24.6638903
13878,-13.6407645,24.8665657
13879,-12.1920201,25.0528814
13931,-15.7081480,24.2126483
13932,-14.2669850,24.4216232
13933,-12.8231721,24.6148745
13985,-16.3267501,23.7594458
13986,-14.8896869,23.9742499
13987,-13.4504784,24.1740461
14039,-15.5091091,23.5247103
14040,-14.0741556,23.7306215
14093,-16.1254997,23.0732935
14094,-14.6944283,23.2848448
14147,-16.7391162,22.6203175
14148,-15.3115287,22.8369806
14149,-13.8826329,23.0398403
14201,-15.9256978,22.3873184
14202,-14.5004782,22.5956348
14255,-16.5371851,21.9361752
14256,-15.1152546,22.1494172
14309,-17.1462498,21.4839005
14310,-15.7271957,21.7014763
14311,-14.3076907,21.9065795
14363,-16.3365441,21.2521282
14364,-14.9201438,21.4619776
17522,-11.0961995,26.6174318
17523,-10.6260952,27.7462153
17524,-10.1459440,28.8738570
17525,-9.6551574,30.0000000
17526,-9.1531125,31.1242809
17527,-8.6391486,32.2463293
17528,-8.1125648,33.3657678
17576,-10.4507887,27.0435046
17577,-9.9719646,28.1710827
17578,-9.4825021,29.2972472
17579,-8.9817935,30.4216203
17580,-8.4691952,31.5438169
17581,-7.9440252,32.6634451
17582,-7.4055601,33.7801053
17584,-6.2856263,36.0028853
17631,-9.8005724,27.4674624
17632,-9.3126458,28.5936425
17633,-8.8134770,29.7181156
17634,-8.3024392,30.8404815
17635,-7.7788690,31.9603327
17636,-7.2420633,33.0772544
17637,-6.6912771,34.1908238
17638,-6.1257199,35.3006105
17685,-9.6315133,26.7630073
17686,-9.1453406,27.8891874
17687,-8.6479204,29.0137601
17688,-8.1386425,30.1363092
17689,-7.6168616,31.2564109
17690,-7.0818947,32.3736339
17691,-6.5330187,33.4875395
17692,-5.9694678,34.5976807
17693,-5.3904301,35.7036025
17739,-8.9803338,27.1838882
17740,-8.4848775,28.3085508
17741,-7.9775646,29.4312886
17742,-7.4577674,30.5516610
17743,-6.9248228,31.6692195
17744,-6.3780292,32.7835080
17745,-5.8166445,33.8940624
17746,-5.2398834,35.0004106
17794,-8.3240973,27.6024883
17795,-7.8189615,28.7254113
17796,-7.3013490,29.8460666
17797,-6.7706157,30.9639878
17798,-6.2260812,32.0787005
17799,-5.6670268,33.1897222
17800,-5.0926926,34.2965628
17801,-4.5022755,35.3987236
17850,-7.1473652,29.1396140
17851,-6.6190392,30.2579172
17852,-6.0769467,31.3730885
17853,-5.5203917,32.4846264
17854,-4.9486394,33.5920212
17855,-4.3609143,34.6947549
17904,-6.4698553,29.5509883
17905,-5.9303953,30.6666453
17906,-5.3765158,31.7787418
17907,-4.8075063,32.8867475
17908,-4.2226182,33.9901241
17909,-3.6210623,35.0883253
17959,-5.7861930,29.9593459
17960,-5.2351732,31.0720362
17961,-4.6690748,32.1807037
17962,-4.0871753,33.2847883
17963,-3.4887143,34.3837220
17964,-2.8728922,35.4769289
18013,-5.6441002,29.2511682
18014,-5.0961344,30.3644789
18015,-4.5331243,31.4738522
18016,-3.9543730,32.5787047
18017,-3.3591484,33.6784450
18018,-2.7466813,34.7724742
18067,-4.9591641,29.6560415
18068,-4.3994303,30.7661565
18069,-3.8239966,31.8718302
18070,-3.2321584,32.9724464
18071,-2.6231764,34.0673813
18072,-1.9962765,35.1560040
18122,-4.2677628,30.0575819
18123,-3.6958276,31.1641226
18124,-3.1075361,32.2656781
18125,-2.5021788,33.3615980
18126,-1.8790134,34.4512248
18177,-3.5696416,30.4555408
18178,-2.9850697,31.5580920
18179,-2.3834876,32.6550708
18180,-1.7641843,33.7457915
18232,-2.2668981,31.9477461
18233,-1.6515965,33.0396458
18287,-1.5410536,32.3327285
18342,-0.8072788,32.7126394
