id,longitude,latitude
33847,91.8249475,21.5840427
33901,92.1591257,20.8046952
33902,92.2240798,22.1741345
33954,92.4848840,20.0143288
33955,92.5560916,21.3934290
34003,93.4358872,13.7889008
34004,93.3598728,14.9495179
34008,92.9893583,19.4934968
34009,92.8797982,20.6020438
34010,92.9567192,21.9820261
34011,93.0337464,23.3538884
34062,93.4833454,18.9603702
34063,93.3840604,20.0805361
34064,93.2782824,21.1896109
34065,93.3611575,22.5704721
34066,93.4445935,23.9435230
34113,94.1288538,16.1267193
34114,94.0511646,17.2762511
34115,93.9675593,18.4165391
34116,93.8779635,19.5470790
34117,93.7822985,20.6673902
34118,93.6804811,21.7770157
34119,93.7695598,23.1587515
34167,94.5870309,15.5574758
34168,94.5176036,16.7146665
34169,94.4426848,17.8634003
34170,94.3622006,19.0031852
34171,94.2760722,20.1335502
34172,94.1842158,21.2540452
34173,94.0865430,22.3642423
34174,94.1820843,23.7468479
34175,94.2791329,25.1222288
34222,94.9761698,16.1459707
34223,94.9093756,17.3021809
34224,94.8374371,18.4501878
34225,94.7602772,19.5895315
34226,94.6778136,20.7197714
34227,94.5899591,21.8404861
34228,94.4966214,22.9512740
34229,94.5988938,24.3347429
34230,94.7031673,25.7112639
34275,95.4274680,15.5711480
34276,95.3682534,16.7339595
34277,95.3043092,17.8892619
34278,95.2355615,19.0366082
34279,95.1619312,20.1755683
34280,95.0833339,21.3057295
34281,94.9996797,22.4266965
34282,94.9108737,23.5380926
34283,95.0201560,24.9224174
34284,95.1319487,26.3000605
34330,95.8199074,16.1596847
34331,95.7634226,17.3214441
34332,95.7025454,18.4759068
34333,95.6372008,19.6226545
34334,95.5673085,20.7612843
34335,95.4927830,21.8914094
34336,95.4135332,23.0126589
34337,95.3294627,24.1246788
34338,95.4460442,25.5098504
34339,95.5656623,26.8885964
34385,96.2153529,16.7476492
34386,96.1618204,17.9084243
34387,96.1042280,19.0621111
34388,96.0425008,20.2083178
34389,95.9765584,21.3466668
34390,95.9063151,22.4767951
34391,95.8316798,23.5983544
34392,95.7525558,24.7110118
34393,95.8767371,26.0970196
34394,96.0044994,27.4768479
34438,96.6606456,16.1686846
34439,96.6139493,17.3350433
34440,96.5635916,18.4948978
34441,96.5095034,19.6478683
34442,96.4516107,20.7935876
34443,96.3898341,21.9317014
34444,96.3240888,23.0618688
34445,96.2542846,24.1837626
34446,96.1803258,25.2970696
34447,96.3124193,26.6839008
34489,97.2017834,12.0394858
34493,97.0594662,16.7565452
34494,97.0158425,17.9218664
34495,96.9688832,19.0808600
34496,96.9185209,20.2331699
34497,96.8646834,21.3784514
34498,96.8072930,22.5163721
34499,96.7462672,23.6466115
34500,96.6815178,24.7688619
34501,96.6129511,25.8828283
34502,96.7532814,27.2704685
34542,97.6432658,10.2484547
34544,97.5938218,12.6319061
34545,97.5649868,13.8173205
34546,97.5333543,14.9980169
34547,97.4988772,16.1736226
34548,97.4615045,17.3437737
34549,97.4211805,18.5081159
34550,97.3778450,19.6663046
34551,97.3314331,20.8180056
34552,97.2818752,21.9628954
34553,97.2290969,23.1006613
34554,97.1730184,24.2310023
34555,97.1135548,25.3536287
34556,97.0506159,26.4682628
34557,97.1995205,27.8566951
34595,98.0534890,9.6472139
34596,98.0341418,10.8429678
34597,98.0124205,12.0351803
34598,97.9882920,13.2234800
34599,97.9617194,14.4075023
34600,97.9326619,15.5868896
34601,97.9010749,16.7612923
34602,97.8669097,17.9303690
34603,97.8301136,19.0937872
34604,97.7906295,20.2512232
34605,97.7483959,21.4023634
34606,97.7033469,22.5469035
34607,97.6554119,23.6845498
34608,97.6045154,24.8150189
34609,97.5505768,25.9380382
34610,97.4935104,27.0533460
34611,97.6513404,28.4425511
34650,98.4448845,10.2422801
34651,98.4271202,11.4365624
34652,98.4072850,12.6273231
34653,98.3853477,13.8142134
34654,98.3612737,14.9968909
34655,98.3350249,16.1750200
34656,98.3065597,17.3482725
34658,98.2427946,19.6788733
34659,98.2073925,20.8356054
34660,98.1695692,21.9862290
34661,98.1292633,23.1304582
34662,98.0864092,24.2680165
34663,98.0409367,25.3986373
34664,97.9927706,26.5220638
34665,97.9418312,27.6380491
34705,98.8382973,10.8364039
34706,98.8223595,12.0292430
34707,98.8046505,13.2185877
34708,98.7851416,14.4041102
34709,98.7638012,15.5854890
34710,98.7405943,16.7624087
34713,98.6593790,20.2633657
34714,98.6282932,21.4194389
34715,98.5951167,22.5695866
34716,98.5597939,23.7135399
34718,98.4824663,25.9818316
34719,98.4403293,27.1056768
34720,98.3957814,28.2223413
34759,99.2338877,11.4295876
34760,99.2200167,12.6210128
34761,99.2046715,13.8089773
34763,99.1694538,16.1732974
34766,99.1048463,19.6863118
34767,99.0800257,20.8472533
34768,99.0534944,22.0027092
34769,99.0252065,23.1524183
34770,98.9951129,24.2961275
34772,98.9292942,26.5645742
34773,98.8934524,27.6888468
34814,99.6318139,12.0218328
34821,99.5252511,20.2703202
34822,99.5048967,21.4305234
34823,99.4831629,22.5854000
34876,99.9498021,20.8536580
34877,99.9341578,22.0131610
34878,99.9174698,23.1674930
34929,100.3886675,20.2726800
34930,100.3786643,21.4363117
34984,100.8171346,20.8554035
34985,100.8120061,22.0182652
70031,101.2500000,21.4373782
