id,longitude,latitude
75694,140.8848505,-8.7935033
75695,140.7291689,-7.4572646
75747,141.3201934,-9.4577678
75748,141.1638447,-8.1240000
75749,141.0029441,-6.7852989
75750,140.8333375,-5.4409419
75751,140.6492455,-4.0902795
75802,141.5999009,-8.7892365
75803,141.4392277,-7.4532203
75804,141.2721153,-6.1119462
75805,141.0937071,-4.7647412
75806,140.8971817,-3.4110770
75856,142.0377567,-9.4530369
75857,141.8764133,-8.1195317
75858,141.7105697,-6.7811494
75859,141.5360976,-5.4372156
75860,141.3473062,-4.0871379
75861,141.1361297,-2.7305651
75910,142.3149857,-8.7843021
75911,142.1493652,-7.4486330
75912,141.9773768,-6.1077850
75913,141.7942177,-4.7611361
75914,141.5932066,-3.4082147
75964,142.7553706,-9.4475913
75965,142.5890676,-8.1144704
75966,142.4183373,-6.7765296
75967,142.2390814,-5.4331398
75968,142.0457007,-4.0837606
75969,141.8303372,-2.7280931
76019,143.0301672,-8.7787265
76020,142.8596451,-7.4435249
76021,142.6828485,-6.1032227
76022,142.4950325,-4.7572452
76023,142.2896559,-3.4051717
76073,143.3018697,-8.1088390
76074,143.1263086,-6.7714581
76075,142.9423487,-5.4287277
76076,142.7444836,-4.0801556
76127,143.7455061,-8.7725330
76128,143.5701282,-7.4379153
76129,143.3885906,-6.0982741
76130,143.1962082,-4.7530784
76131,142.9865791,-3.4019534
76132,142.7507319,-2.0448763
76182,144.0148795,-8.1026579
76183,143.8345436,-6.7659509
76184,143.6459569,-5.4239912
76185,143.4437074,-4.0763300
76187,142.9653213,-1.3635530
76236,144.2808739,-7.4318216
76237,144.0946606,-6.0929525
76238,143.8977988,-4.7486445
76239,143.6840242,-3.3985643
76290,144.7281554,-8.0959451
76291,144.5430998,-6.7600224
76292,144.3499613,-5.4189404
76293,144.1434224,-4.0722899
76345,144.9919394,-7.4252592
76346,144.8011144,-6.0872693
76347,144.5998566,-4.7439511
76348,144.3820371,-3.3950082
76398,145.4417540,-8.0887169
76399,145.2520331,-6.7536855
76400,145.0544151,-5.4135843
76401,144.8436771,-4.0680406
76453,145.7033801,-7.4182417
76454,145.5080059,-6.0812349
76455,145.3024319,-4.7390047
76507,146.1557304,-8.0809877
76508,145.9613976,-6.7469513
76509,145.7593700,-5.4079307
76560,146.6095899,-8.7419683
76561,146.4152503,-7.4107814
76562,146.2153874,-6.0748581
76563,146.0055737,-4.7338111
76614,147.0731963,-9.3960389
76615,146.8701385,-8.0727704
76616,146.6712461,-6.7398299
76617,146.4648761,-5.4019866
76668,147.5474088,-10.0441197
76669,147.3265692,-8.7329595
76670,147.1276026,-7.4028891
76671,146.9233099,-6.0681470
76674,146.2273833,-2.0332194
76722,147.7999128,-9.3819805
76723,147.5850307,-8.0640767
76724,147.3816298,-6.7323300
76725,147.1709821,-5.3957580
76776,148.2762867,-10.0307613
76777,148.0509027,-8.7189254
76779,147.6318229,-6.0611085
76782,146.9250286,-2.0306291
76831,148.5263094,-9.3686898
76832,148.3004586,-8.0549168
76833,148.0925989,-6.7244597
76834,147.8777358,-5.3892503
76884,149.0047409,-10.0185712
76885,148.7748931,-8.7056818
76887,148.3409750,-6.0537488
76890,147.6235282,-2.0279535
76938,149.4862657,-10.6689679
76939,149.2522589,-9.3565829
76942,148.5851836,-5.3824681
76993,149.7326211,-10.0080163
76996,149.0508138,-6.0460733
76997,148.8247383,-4.7106563
77046,150.2160217,-10.6604552
77047,149.9776135,-9.3461157
77050,149.2933713,-5.3754154
77101,150.4597526,-9.9996097
77104,149.7613859,-6.0380870
77105,149.5314036,-4.7042904
77155,150.9448409,-10.6546788
77156,150.7022025,-9.3377877
77158,150.2295053,-6.6986912
77159,150.0023440,-5.3680959
77162,149.2305039,-1.3481066
77209,151.1859332,-9.9939153
77210,150.9434513,-8.6749567
77212,150.4727373,-6.0297939
77213,150.2389058,-4.6976992
77267,150.7121459,-5.3605126
77269,150.2127612,-2.6887111
77270,149.9311953,-1.3461169
77318,151.9109291,-9.9915537
77321,151.1849134,-6.0211978
77322,150.9472873,-4.6908848
77371,152.3986669,-10.6539626
77375,151.4228209,-5.3526682
77376,151.1776670,-4.0209602
77377,150.9168085,-2.6846588
77425,152.8888873,-11.3203277
77427,152.3845684,-8.6669751
77429,151.8980012,-6.0129106
77430,151.6565903,-4.6838491
77431,151.4027346,-3.3508024
77480,153.1230708,-10.6605099
77481,152.8692493,-9.3313933
77484,152.1344124,-5.3445650
77485,151.8857424,-4.0147890
77486,151.6218779,-2.6804907
77533,153.6138290,-11.3328307
77538,152.3668566,-4.6765936
77539,152.1097447,-3.3455494
77593,152.5948271,-4.0084347
77594,152.3280059,-2.6762070
77642,154.3361355,-11.3521876
77647,153.0781277,-4.6691195
77648,152.8178085,-3.3401482
77701,153.3049612,-4.0018982
77756,153.5269644,-3.3345990
77809,154.2607010,-5.3367792
77810,154.0161843,-3.9951799
77862,154.7382725,-6.0107366
77863,154.4904359,-4.6668148
77864,154.2372508,-3.3289020
77916,155.2175183,-6.6889879
77917,154.9664691,-5.3417582
77971,155.4441131,-6.0208944
77973,154.9487062,-3.3230572
78024,155.9231206,-6.7052732
