id,longitude,latitude
2,-168.7500000,58.2825256
3,-168.7500000,60.8120997
4,-168.7500000,63.3700063
5,-168.7500000,65.9542333
6,-168.7500000,68.5626218
27,-164.0779340,58.9805136
28,-162.7112713,62.0472574
29,-162.2377495,64.5618123
30,-161.6351427,67.1088379
31,-160.8532745,69.6842349
32,-159.8119136,72.2829560
50,-163.6557403,54.0552294
51,-160.4350004,56.5141820
52,-159.1824375,59.5086796
53,-157.3666060,62.4760927
54,-155.1584529,65.4373508
55,-153.8903507,67.9074273
56,-152.2320333,70.4031606
75,-158.3813910,54.2760324
76,-155.9004084,56.9402198
77,-154.1073013,59.8512858
78,-151.8286294,62.7064726
79,-149.0860804,65.5300933
80,-145.6569396,68.3183969
81,-143.1396333,70.6803123
101,-151.2155584,57.1919216
102,-148.9091922,59.9957188
103,-146.1739779,62.7243798
104,-142.9173213,65.3953114
105,-138.9348941,67.9951381
127,-143.6543900,59.9335419
128,-140.4901635,62.5214357
152,-138.4137162,59.6612226
176,-136.7775729,56.8047585
177,-133.2565414,59.1803840
200,-135.3935768,53.9387945
201,-132.0286236,56.2834941
225,-130.9863744,53.3886370
226,-127.4021452,55.5714565
298,-125.4928579,46.8410406
299,-122.1312951,48.8166911
322,-124.9945070,43.9429303
323,-121.7860492,45.8959049
324,-118.3668607,47.7242724
325,-114.7219026,49.4400989
346,-124.5433760,41.0484878
347,-121.4705959,42.9766000
348,-118.2218648,44.7806934
349,-114.7823713,46.4814510
350,-111.1339592,48.0773765
351,-107.2606166,49.5599117
370,-124.1308148,38.1561729
371,-121.1821221,40.0503175
372,-118.0898564,41.8265860
373,-114.8333985,43.5124362
374,-111.3955187,45.1048948
375,-107.7622843,46.5953515
376,-103.9226729,47.9727836
377,-99.8692723,49.2245919
378,-95.5305474,50.2890273
395,-120.9418225,37.0861038
396,-117.9961051,38.8395014
397,-114.9008655,40.5173544
398,-111.6444949,42.1114673
399,-108.2162540,43.6126332
400,-104.6069262,45.0106235
401,-100.8096334,46.2942263
402,-96.8207994,47.4513518
403,-92.5672141,48.4186714
404,-88.1331518,49.2440016
419,-120.5462865,34.0352137
420,-118.1415994,35.7552203
421,-115.0737889,37.4647180
422,-111.9391232,39.0787167
423,-108.6700078,40.6001357
424,-105.2479135,42.0232491
425,-101.6630687,43.3395157
426,-97.9099834,44.5389634
427,-93.9870196,45.6107002
428,-89.8263112,46.4976384
429,-85.5088743,47.2663939
432,-71.9911257,47.2663939
433,-67.6736888,46.4976384
444,-117.4350398,32.7245126
445,-114.8964088,34.3658686
446,-112.4732614,35.9833029
447,-109.2266224,37.5431737
448,-105.9167914,39.0015592
449,-102.4885567,40.3551959
450,-98.9224439,41.5976947
451,-95.2102891,42.7207131
452,-91.3500567,43.7147778
453,-87.2860745,44.5385892
454,-83.0848147,45.2730341
456,-74.4151853,45.2730341
457,-70.2139255,44.5385892
469,-114.4125956,31.3374146
470,-111.8281549,32.9046630
471,-109.2744469,34.4445395
472,-106.7730001,35.9433382
473,-103.3850976,37.3385326
474,-99.9323087,38.6262571
475,-96.3745471,39.7999104
476,-92.6962321,40.8521035
477,-88.8923743,41.7745253
478,-84.9261344,42.5528177
479,-80.8385193,43.2755310
480,-76.6614807,43.2755310
481,-72.5738656,42.5528177
494,-111.4744683,29.8786953
495,-108.8690145,31.3760164
496,-106.2590065,32.8394098
497,-103.6556490,34.2605398
498,-101.0700946,35.6326535
499,-97.5705709,36.8531480
500,-94.0076132,37.9598318
501,-90.3533580,38.9446503
502,-86.5972734,39.7997572
503,-82.7277987,40.5503619
504,-78.7500000,41.2840540
505,-74.7722013,40.5503619
520,-106.0015410,29.7831615
521,-103.3657936,31.1737886
522,-100.7145979,32.5185938
523,-98.0546705,33.8124538
524,-95.3930326,35.0512451
525,-91.8093574,36.0899599
526,-88.1675861,37.0087770
527,-84.4491746,37.7992514
528,-80.6741463,38.5401176
529,-76.8258537,38.5401176
545,-103.2155722,28.1296189
546,-100.5703910,29.4509831
547,-97.8984030,30.7228365
548,-95.2039545,31.9408743
549,-92.4918890,33.1014450
550,-89.7675075,34.2015960
551,-86.1255334,35.0538606
552,-82.4337501,35.7808422
553,-78.7500000,36.5299463
570,-100.5027316,26.4188025
571,-97.8581084,27.6740233
572,-95.1808622,28.8764232
573,-92.4740335,30.0221719
574,-89.7412165,31.1078938
575,-86.9865517,32.1307132
576,-84.2147002,33.0882909
577,-80.5379557,33.7515118
579,-76.9620443,33.7515118
580,-75.0662499,35.7808422
581,-73.0508254,37.7992514
582,-70.9027266,39.7997572
583,-68.6076257,41.7745253
584,-66.1499433,43.7147778
626,-78.7500000,26.6299937
750,-67.3887298,18.9710172
775,-64.8784355,17.9897080
2853,174.0274478,51.9239612
2878,179.0026137,51.9785797
2881,-173.4220660,58.9805136
2903,-87.1027607,29.0736641
2904,-84.3398246,30.0231544
2905,-81.5540703,30.9050741
2899,-97.8551903,24.6538646
2902,-89.8389040,28.0589986
2929,-81.9452171,27.7841619
2953,-81.8379064,25.2624701
5207,-176.0457310,51.8371080
5209,-171.4233361,56.2067656
5232,-171.1636271,51.4193446
5233,-168.7500000,53.4700537
5297,-177.3669277,28.2526411
5321,-175.4755378,25.8575272
5346,-172.1561075,25.8118876
5371,-168.7500000,25.4961486
5420,-163.8434217,23.4332375
5445,-160.6457105,23.4115044
5469,-159.4015964,20.9320250
5494,-156.2792345,20.8274344
5518,-155.2031039,18.3294577
