id,longitude,latitude
15067,-15.7472995,16.7071932
15121,-16.3401977,16.2666798
15174,-16.9316289,15.8261970
15175,-15.5502260,16.0241224
15229,-16.1411287,15.5851961
15283,-16.7306170,15.1463334
15336,-17.3189154,14.7079566
15337,-15.9424621,14.9033651
15391,-16.5300153,14.4660699
15445,-17.1164238,14.0292831
15499,-16.3297366,13.7853669
15553,-16.9142643,13.3501151
15661,-16.7123540,12.6704148
17510,-16.1296964,13.1041859
17511,-15.7441089,14.2211469
17512,-15.3535461,15.3407538
17513,-14.9576910,16.4627260
17563,-15.9316896,12.4160986
17564,-15.5484379,13.5307150
17565,-15.1600853,14.6482192
17566,-14.7663215,15.7683213
17567,-14.3668213,16.8907245
17618,-15.3518562,12.8410210
17619,-14.9660338,13.9561919
17620,-14.5746723,15.0742122
17621,-14.1774534,16.1947752
17673,-14.7710007,13.2648922
17674,-14.3823682,14.3805948
17675,-13.9877479,15.4991017
17726,-14.5745698,12.5745692
17727,-14.1890106,13.6876917
17728,-13.7973228,14.8039013
17729,-13.3991878,15.9228626
17781,-13.9941746,12.9957555
17782,-13.6057717,14.1093986
17783,-13.2107772,15.2260881
17835,-13.7974058,12.3050730
17836,-13.4126604,13.4158497
17837,-13.0211674,14.5299913
17838,-12.6226083,15.6471310
17889,-13.2175239,12.7235459
17890,-12.8299147,13.8348313
17891,-12.4350788,14.9494473
17944,-12.6365430,13.1409043
17945,-12.2458228,14.2526796
17998,-12.4405397,12.4485489
17999,-12.0543528,13.5571287
18052,-11.8601427,12.8631398
18106,-11.6626231,12.1711089
18107,-11.2785637,13.2765729
18161,-11.0828501,12.5829000
