id,longitude,latitude
13898,-57.2890897,5.8446559
13952,-57.6776421,5.1680037
13953,-56.5549609,5.8961551
14005,-58.0656479,4.4875094
14006,-56.9435836,5.2245246
14007,-55.8226711,5.9381747
14060,-57.3317523,4.5513384
14061,-56.2113065,5.2693713
14062,-55.0926580,5.9727407
14114,-57.7196100,3.8754295
14115,-56.5992960,4.6000756
14116,-55.4815253,5.3053721
14117,-54.3650873,6.0013642
14168,-56.9868334,3.9299444
14169,-55.8695391,4.6379249
14170,-54.7545092,5.3345514
14171,-53.6399640,6.0251877
14222,-57.3741414,3.2582718
14223,-56.2568475,3.9703417
14224,-55.1429449,4.6677357
14225,-54.0302819,5.3583838
14277,-56.6436147,3.3025111
14278,-55.5305203,4.0009181
14279,-54.4195720,4.6914847
14330,-57.0300406,2.6341897
14331,-55.9173602,3.3340994
14332,-54.8079828,4.0244631
14385,-56.3035885,2.6672799
14386,-55.1956788,3.3572712
14387,-54.0890412,4.0428414
14439,-56.6893285,2.0004601
14440,-55.5828609,2.6898195
14441,-54.4782859,3.3746340
14493,-55.9698259,2.0219204
14494,-54.8674009,2.7057201
14495,-53.7647057,3.3878560
14549,-54.1564534,2.7172372
14603,-54.5497404,2.0448781
