id,longitude,latitude
20251,25.5451240,40.7771266
20305,25.4013997,40.0756880
20359,26.3490422,40.3943534
20413,26.1982084,39.6930189
20520,25.9087792,38.2893688
20521,26.9851955,39.3043477
20575,26.8317729,38.6028415
20629,26.6824006,37.9009249
20683,27.6026588,38.2088013
20737,27.4468860,37.5070716
20791,27.2950453,36.8048414
20845,28.2024756,37.1081665
20899,28.0445531,36.4061756
26279,28.9494154,36.7045378
26280,28.3644255,37.8096103
26281,27.7625913,38.9100677
26282,27.1428968,40.0054818
26283,26.5042585,41.0954138
26332,29.6841925,36.3034349
26333,29.1129909,37.4134797
26334,28.5257993,38.5191847
26335,27.9216501,39.6201213
26336,27.2995117,40.7158521
26337,26.6582830,41.8059292
26386,30.4110477,35.8970255
26387,29.8531817,37.0118434
26388,29.2801663,38.1225958
26389,28.6910819,39.2288525
26390,28.0849479,40.3301752
26391,27.4607181,41.4261169
26441,30.5851851,36.6048342
26442,30.0258766,37.7204361
26443,29.4513727,38.8318137
26444,28.8607438,39.9385262
26445,28.2529979,41.0401252
26446,27.6270760,42.1361546
26495,30.7631217,37.3128389
26496,30.2027112,38.4291408
26497,29.6270846,39.5410448
26498,29.0353037,40.6480996
26499,28.4263672,41.7498469
26549,31.4921012,36.8999365
26550,30.9452940,38.0209678
26551,30.3841638,39.1378684
26552,29.8078257,40.2501817
26553,29.2153350,41.3574456
26603,32.2130221,36.4818602
26604,31.6793257,37.6074270
26605,31.1321833,38.7291316
26606,30.5707624,39.8465103
26607,29.9941747,40.9590949
26656,32.9260993,36.0587412
26657,32.4050186,37.1886493
26658,31.8713528,38.3149670
26659,31.3243209,39.4372211
26660,30.7630902,40.5549352
26711,33.1225929,36.7647650
26712,32.6018900,37.8955052
26713,32.0687163,39.0224470
26714,31.5222940,40.1451035
26715,30.9617928,41.2629858
26765,33.8322766,36.3359043
26766,33.3240204,37.4708759
26767,32.8041719,38.6023190
26768,32.2720067,39.7297337
26769,31.7267527,40.8526193
26819,34.0379778,37.0412076
26820,33.5309188,38.1769656
26821,33.0124573,39.3089567
26822,32.4818780,40.4366654
26823,31.9384183,41.5595770
26873,34.7440043,36.6066291
26874,34.2491964,37.7465145
26875,33.7438826,38.8829009
26876,33.2274034,40.0152556
26877,32.6990560,41.1430477
26927,35.4423504,36.1672700
26928,34.9592527,37.3110924
26929,34.4665280,38.4516927
26930,33.9635716,39.5885183
26931,33.4497399,40.7210190
26932,32.9243471,41.8486482
26980,36.1332758,35.7232617
26981,35.6613442,36.8708261
26982,35.1806472,38.0154572
26983,34.6906339,39.1565792
26984,34.1907187,40.2936196
26985,33.6802783,41.4260104
27035,36.3557367,36.4258435
27036,35.8865026,37.5743187
27037,35.4088498,38.7195618
27038,34.9222495,39.8609747
27039,34.4261398,40.9979649
27040,33.9199223,42.1299463
27090,36.5843660,37.1284014
27091,36.1184877,38.2775879
27092,35.6445978,39.4232068
27093,35.1621945,40.5646371
27094,34.6707442,41.7012657
27143,37.2745192,36.6778311
27144,36.8198253,37.8307788
27145,36.3580379,38.9804357
27146,35.8887140,40.1261488
27147,35.4113835,41.2672735
27148,34.9255474,42.4031756
27198,37.5131504,37.3792556
27199,37.0628532,38.5327796
27200,36.6059781,39.6826182
27201,36.1421174,40.8280914
27202,35.6708390,41.9685306
27252,38.1987616,36.9231412
27253,37.7593373,38.0803558
27254,37.3142761,39.2341611
27255,36.8632316,40.3838369
27256,36.4058374,41.5286754
27305,38.8769694,36.4625612
27306,38.4477946,37.6232817
27307,38.0139070,38.7808910
27308,37.5750207,39.9346236
27309,37.1308338,41.0837274
27360,39.1285415,37.1616762
27361,38.7051806,38.3229204
27362,38.2777888,39.4805621
27363,37.8461280,40.6337993
27414,39.8019080,36.6956617
27415,39.3884188,37.8603620
27416,38.9718508,39.0217606
27417,38.5520289,40.1789992
27418,38.1287696,41.3312377
27468,40.0639569,37.3933299
27469,39.6575333,38.5583258
27470,39.2488559,39.7194319
27471,38.8378076,40.8757461
27522,40.7321455,36.9219420
27523,40.3351762,38.0903643
27524,39.9369394,39.2551990
27525,39.5373842,40.4154742
27577,41.0051348,37.6179842
27578,40.6166233,38.7864003
27579,40.2278334,39.9505196
27580,39.8387827,41.1093169
27630,41.6677820,37.1412977
27631,41.2882660,38.3131350
27632,40.9095013,39.4809766
27633,40.5315750,40.6437098
27685,41.9522441,37.8355036
27686,41.5827488,39.0069364
27687,41.2151831,40.1735105
27688,40.8497132,41.3340488
27739,42.6089543,37.3536103
27740,42.2479538,38.5284891
27741,41.8899684,39.6988042
27742,41.5352383,40.8632687
27793,42.9055144,38.0457258
27794,42.5563083,39.2196723
27795,42.2115154,40.3879952
27796,41.8714652,41.5493282
27847,43.5558531,37.5587405
27848,43.2145998,38.7361940
27849,42.8789196,39.9083037
27850,42.5492209,41.0735647
27901,44.1994221,37.0676348
27902,43.8652637,38.2484479
27903,43.5378438,39.4242642
27904,43.2176528,40.5934200
27905,42.9051963,41.7543127
27955,44.5087496,37.7565152
27956,44.1887035,38.9359423
27957,43.8771469,40.1089585
27958,43.5746706,41.2737834
28009,45.1455429,37.2604842
28010,44.8319417,38.4434019
28011,44.5281096,39.6202373
28012,44.2347268,40.7890046
